Time,Down,Type,Yards,Details,Saskatchewan,Hamilton
03:47,2,Pass,14,Zach Collaros pass to Luke Tasker for 14 yards for a TOUCHDOWN.,3,26
03:28,0,Made Extra Point,0,Justin Medlock extra point is good.,3,27
03:28,0,Holding,3,Justin Medlock kicks off to the Ssk12. Tristan Jackson return for 13 yards to Ssk25. Penalty: Holding on Saskatchewan (Chaz Schilens) -10 yards.,3,27
03:22,1,Pass,2,Tino Sunseri pass to Anthony Allen for 2 yards to the Ssk17. Tackled by Taylor Reed.,3,27
02:58,2,Sack,-6,Sack at Ssk11 for a loss of 6 yards by Bryan Hall.,3,27
02:45,3,Punt,14,Chris Milo punts for 46 yards to Ham53. Terrell Sinkfield return for 14 yards to Ssk43. Tackled by Tristan Black.,3,27
02:26,1,Rush,5,Mossis Madu rush for 5 yards to the Ssk38. Tackled by Ricky Foley.,3,27
02:22,2,Rush,1,Mossis Madu rush for 1 yard to the Ssk37. Tackled by Ricky Foley.,3,27
01:58,3,Unnecessary Roughness,72,Justin Medlock punts for 57 yards to Ssk0 (Single). Penalty: Unnecessary Roughness on Saskatchewan (Markus White) 15 yards.,3,27
01:30,1,Rush,8,Anthony Allen rush for 8 yards to the Ssk28. Tackled by Bryan Hall.,3,28
01:24,2,Rush,5,Anthony Allen rush for 5 yards to the Ssk33. Tackled by Sam Scott.,3,28
01:04,1,Pass,10,Tino Sunseri pass to Weston Dressler for 10 yards to the Ssk43. Tackled by Courtney Stephen.,3,28
00:42,2,Pass,7,Tino Sunseri pass to Weston Dressler for 7 yards to the Ssk50. Tackled by Courtney Stephen.,3,28
00:35,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Jerome Messam.,3,28
00:15,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Taj Smith.,3,28
00:06,3,Pass,14,Tino Sunseri pass to Taj Smith for 14 yards to the Ham46. Tackled by Ed Gainey.,3,28
