Time,Down,Type,Yards,Details,Calgary,Hamilton
05:42,1,Rush,10,Hugh Charles rush for 10 yards to the Cgy49. Tackled by Simoni Lawrence.,23,20
05:08,2,Rush,1,Drew Tate rush for 1 yard to the Cgy50. Tackled by Taylor Reed.,23,20
04:44,1,Sack,-10,Sack at Cgy40 for a loss of 10 yards by Taylor Reed.,23,20
04:26,2,Pass,21,Bo Levi Mitchell pass to Simon Charbonneau-Campeau for 21 yards to the Ham49. Tackled by Craig Butler.,23,20
03:47,1,Rush,4,Hugh Charles rush for 4 yards to the Ham45. Tackled by Taylor Reed.,23,20
03:07,2,Rush,-1,Rob Cote rush for a loss of 1 yard to the Ham46. Tackled by Arnaud Gascon-Nadon.,23,20
02:51,3,Punt,0,Rob Maver punts for 36 yards to Ham10. No return.,23,20
02:29,1,Pass,9,Jeremiah Masoli pass to Andy Fantuz for 9 yards to the Ham19. Tackled by Keon Raymond.,23,20
02:26,2,Rush,4,Jeremiah Masoli rush for 4 yards to the Ham23. Tackled by Deron Mayo.,23,20
02:13,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Andy Fantuz defensed by Keon Raymond.,23,20
01:49,2,Interception,12,Jeremiah Masoli pass intended for Samuel Giguere INTERCEPTED and returned for 12 yards. Tackled by Marc Dile.,23,20
01:49,1,Rush,6,Hugh Charles rush for 6 yards to the Ham24. Tackled by Brian Bulcke.,23,20
01:42,2,Rush,12,Hugh Charles rush for 12 yards to the Ham12. Tackled by Brandon Stewart.,23,20
01:19,1,Rush,1,Hugh Charles rush for 1 yard to the Ham11. Tackled by Taylor Reed.,23,20
01:16,2,Pass,9,Bo Levi Mitchell pass to Marquay McDaniel for 9 yards to the Ham2. Tackled by Taylor Reed.,23,20
00:33,3,Rush,2,Drew Tate rush for 2 yards for a TOUCHDOWN.,29,20
00:33,0,Made Extra Point,0,Rene Paredes extra point is good.,30,20
00:33,0,Kickoff,22,Rene Paredes kicks off to the Ham19. Luke Tasker return for 22 yards to Ham41. Tackled by Joe West.,30,20
00:28,1,Pass,12,Jeremiah Masoli pass to Bakari Grant for 12 yards to the Ham53. Tackled by Juwan Simpson.,30,20
00:16,1,Pass,7,Jeremiah Masoli pass to Bakari Grant for 7 yards to the Cgy50. Tackled by Juwan Simpson.,30,20
00:09,2,Pass,24,Jeremiah Masoli pass to Greg Ellingson for 24 yards to the Cgy26. Tackled by Brandon Smith.,30,20
