Time,Down,Type,Yards,Details,Edmonton,BC
12:05,2,Rush,2,Pat White rush for 2 yards to the Edm47. Tackled by Alex Bazzie.,20,17
11:33,1,Pass,16,Mike Reilly pass to Adarius Bowman for 16 yards to the BC47. Tackled by Josh Johnson.,20,17
11:07,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Simeon Rottier) -5 yards.,20,17
10:43,1,Pass,15,Mike Reilly pass to Shamawd Chambers for 15 yards to the BC37. Tackled by Josh Johnson.,20,17
10:19,2,Rush,2,Pat White rush for 2 yards to the BC35. Tackled by Solomon Elimimian.,20,17
09:28,1,Pass,35,Mike Reilly pass to Adarius Bowman for 35 yards for a TOUCHDOWN.,26,17
09:20,0,Made Extra Point,0,Grant Shaw extra point is good.,27,17
09:20,0,Kickoff,27,Grant Shaw kicks off to the BC20. Stefan Logan return for 27 yards to BC47. Tackled by Elie Ngoyi.,27,17
09:15,1,Sack,-5,Sack at BC42 for a loss of 5 yards by Almondo Sewell.,27,17
08:31,2,Sack,-4,Sack at BC38 for a loss of 4 yards by Almondo Sewell.,27,17
08:02,3,Punt,21,Ricky Schmitt punts for 42 yards to Edm30. Patrick Robertson return for 21 yards to Edm51. Tackled by Rolly Lumbala.,27,17
07:32,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,27,17
06:57,0,Tripping,-10,Penalty: Tripping on Edmonton (Simeon Rottier) -10 yards.,27,17
06:19,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,27,17
05:59,3,Punt,13,Grant Shaw punts for 46 yards to BC23. Stefan Logan return for 13 yards to BC36. Tackled by Corbin Sharun.,27,17
05:40,1,Pass,7,Kevin Glenn pass to Courtney Taylor for 7 yards to the BC43. Tackled by Dexter McCoil.,27,17
05:08,2,Pass,21,Kevin Glenn pass to Korey Williams for 21 yards to the Edm46. Tackled by Rennie Curran.,27,17
04:36,1,Rush,2,Andrew Harris rush for 2 yards to the Edm44. Tackled by Marcell Young.,27,17
04:12,2,Pass,5,Kevin Glenn pass to Andrew Harris for 5 yards to the Edm39. Tackled by Marcell Young.,27,17
03:21,3,Missed Field Goal,46,Paul McCallum 46 yard field goal attempt is GOOD.,27,20
03:21,1,Pass,6,Mike Reilly pass to Nate Coehoorn for 6 yards to the Edm41. Tackled by Ronnie Yell.,27,20
03:00,2,Rush,2,Tyler Thomas rush for 2 yards to the Edm43. Tackled by Eric Taylor.,27,20
02:46,3,Punt,17,Grant Shaw punts for 46 yards to BC21. Stefan Logan return for 17 yards to BC38. Tackled by Aaron Grymes.,27,20
02:17,1,Pass,32,Kevin Glenn pass to Andrew Harris for 32 yards to the Edm40. Tackled by Joe Burnett.,27,20
02:05,1,Rush,7,Stefan Logan rush for 7 yards to the Edm33. Tackled by Rennie Curran.,27,20
01:41,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Ernest Jackson defensed by Patrick Watkins.,27,20
01:14,3,Interception,4,Kevin Glenn pass intended for Korey Williams INTERCEPTED and returned for 4 yards. Tackled by Korey Williams.,27,20
01:08,1,Rush,4,Tyler Thomas rush for 4 yards to the Edm37. Tackled by Solomon Elimimian.,27,20
01:04,2,Rush,3,Tyler Thomas rush for 3 yards to the Edm40. Tackled by Cord Parks.,27,20
00:38,3,Punt,7,Grant Shaw punts for 38 yards to BC32. Stefan Logan return for 7 yards to BC39. Tackled by Corbin Sharun.,27,20
00:27,1,Fumble,3,"Kevin Glenn pass to Andrew Harris for 1 yard to the BC40. FUMBLE, recovered by Edm (Marcus Howard) and returned for 2 yards. Tackled by Andrew Harris.",27,20
