Time,Down,Type,Yards,Details,BC,Edmonton
12:29,2,Rush,8,Mike Reilly rush for 8 yards to the Edm43. Tackled by Jamall Johnson.,3,30
11:54,1,Rush,1,John White rush for 1 yard to the Edm44. Tackled by Solomon Elimimian.,3,30
10:58,2,Pass,28,Mike Reilly pass to Fred Stamps for 28 yards to the BC38.,3,30
10:23,1,Pass,33,Mike Reilly pass to John White for 33 yards to the BC5. Tackled by Jamall Johnson.,3,30
09:09,1,Pass,5,Pat White pass to Calvin McCarty for 5 yards for a TOUCHDOWN.,3,36
08:53,0,Made Extra Point,0,Hugh O'Neill extra point is good.,3,37
08:53,0,Kickoff,23,Hugh O'Neill kicks off to the BC13. Marco Iannuzzi return for 23 yards to BC36. Tackled by J.C. Sherritt.,3,37
08:46,1,Rush,4,Keola Antolin rush for 4 yards to the BC40. Tackled by J.C. Sherritt.,3,37
08:15,2,Pass,27,John Beck pass to Kito Poblah for 27 yards to the Edm43. Tackled by J.C. Sherritt.,3,37
07:37,1,Incomplete Pass,0,John Beck incomplete pass intended for Shawn Gore.,3,37
07:22,1,Incomplete Pass,0,John Beck incomplete pass intended for Lavasier Tuinei.,3,37
06:50,3,Punt,0,Ricky Schmitt punts for 36 yards to Edm7. No return.,3,37
06:41,1,Pass,9,Matt Nichols pass to Adarius Bowman for 9 yards to the Edm16. Tackled by T.J. Lee.,3,37
06:28,2,Rush,1,Matt Nichols rush for 1 yard to the Edm17. Tackled by Solomon Elimimian.,3,37
05:57,1,Rush,14,Kendial Lawrence rush for 14 yards to the Edm31. Tackled by Torri Williams.,3,37
05:24,1,Rush,7,Adarius Bowman rush for 7 yards to the Edm38. Tackled by T.J. Lee.,3,37
04:47,2,Rush,9,Pat White rush for 9 yards to the Edm47. Tackled by Solomon Elimimian.,3,37
04:20,1,Rush,14,Calvin McCarty rush for 14 yards to the BC49. Tackled by Solomon Elimimian.,3,37
03:51,1,Pass,5,Pat White pass to Calvin McCarty for 5 yards to the BC44. Tackled by Josh Johnson.,3,37
03:15,2,Sack,-4,Sack at BC48 for a loss of 4 yards by Jamall Johnson.,3,37
02:53,3,Face Mask,21,Hugh O'Neill punts for 43 yards to BC5. Marco Iannuzzi return for 6 yards to BC11. Tackled by Deon Lacey. Penalty: Face Mask on Edmonton (Dexter McCoil) 15 yards.,3,37
02:23,1,Incomplete Pass,0,John Beck incomplete pass intended for Kito Poblah.,3,37
02:18,2,Incomplete Pass,0,John Beck incomplete pass intended for Emmanuel Arceneaux.,3,37
02:14,3,Punt,7,Ricky Schmitt punts for 43 yards to Edm41. Kendial Lawrence return for 7 yards to Edm48. Tackled by Steven Doege.,3,37
02:06,1,Rush,15,John White rush for 15 yards to the BC47. Tackled by Steven Doege.,3,37
01:44,1,Pass,6,Matt Nichols pass to Fred Stamps for 6 yards to the BC41. Tackled by Torri Williams.,3,37
01:35,2,Pass,4,Matt Nichols pass to Kendial Lawrence for 4 yards to the BC37. Tackled by Solomon Elimimian.,3,37
01:12,1,Rush,4,Calvin McCarty rush for 4 yards to the BC33. Tackled by Solomon Elimimian.,3,37
00:44,2,Rush,4,Calvin McCarty rush for 4 yards to the BC29. Tackled by David Menard.,3,37
00:14,3,Rush,1,Matt Nichols rush for 1 yard to the BC28. Tackled by Jamall Johnson.,3,37
