Time,Down,Type,Yards,Details,Edmonton,Hamilton
09:25,1,Rush,4,Tyler Thomas rush for 4 yards to the Edm51. Tackled by Eric Norwood.,15,17
08:43,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,15,17
08:05,3,Punt,0,Hugh O'Neill punts for 59 yards to Ham0. No return.,15,17
07:39,1,Unnecessary Roughness,-12,Zach Collaros rush for 1 yard to the Ham26. Tackled by Odell Willis. Penalty: Unnecessary Roughness on Hamilton (Mike Filer) -13 yards.,15,17
07:26,0,Rush,5,"FUMBLE Zach Collaros rush for 5 yards to the Ham18., recovered by Ham (Carl-Olivier Prime).",15,17
06:47,3,Holding,51,Justin Medlock punts for 41 yards to Edm51. Penalty: Holding on Edmonton (Mike Dubuisson) 10 yards.,15,17
06:23,1,Pass,6,Mike Reilly pass to Nate Coehoorn for 6 yards to the Edm47. Tackled by Rico Murray.,15,17
06:11,2,Pass,3,Mike Reilly pass to Nate Coehoorn for 3 yards to the Edm50. Tackled by Ed Gainey.,15,17
04:56,3,Punt Single,0,Hugh O'Neill punts for 70 yards to Ham0. No return (Single).,16,17
04:56,1,Pass,18,Zach Collaros pass to Luke Tasker for 18 yards to the Ham53. Tackled by Patrick Watkins.,16,17
04:32,1,Pass,7,Zach Collaros pass to Luke Tasker for 7 yards to the Edm50. Tackled by Aaron Grymes.,16,17
03:54,2,Rush,6,Zach Collaros rush for 6 yards to the Edm44. Tackled by Alonzo Lawrence.,16,17
02:40,1,Pass,44,Zach Collaros pass to Brandon Banks for 44 yards for a TOUCHDOWN.,16,23
02:40,0,Made Extra Point,0,Justin Medlock extra point is good.,16,24
02:40,0,Kickoff,6,Justin Medlock kicks off to the Edm36. A.J. Guyton return for 6 yards to Edm42. Tackled by Christopher Johnson.,16,24
02:35,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,16,24
02:29,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,16,24
02:21,3,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,16,24
02:14,1,Rush,4,Carl-Olivier Prime rush for 4 yards to the Edm38. Tackled by Gregory Alexandre.,16,24
02:11,2,Rush,1,Carl-Olivier Prime rush for 1 yard to the Edm37. Tackled by J.C. Sherritt.,16,24
01:46,3,Unnecessary Roughness,-21,Justin Medlock punts for 40 yards to Edm0. A.J. Guyton return for a loss of 6 yards to Edm0. Tackled by Courtney Stephen (Single). Penalty: Unnecessary Roughness on Edmonton ( ) -15 yards.,16,24
01:34,1,Pass,10,Mike Reilly pass to Adarius Bowman for 10 yards to the Edm30. Tackled by  .,16,25
01:27,0,Illegal Contact,0,Penalty: Holding on Edmonton (Simeon Rottier) -10 yards. Penalty: Illegal Contact on Hamilton 10 yards.,16,25
01:16,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,16,25
01:11,2,Pass,11,Mike Reilly pass to Shamawd Chambers for 11 yards to the Edm41. Tackled by Brandon Stewart.,16,25
01:05,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,16,25
00:58,2,Pass,8,Mike Reilly pass to Adarius Bowman for 8 yards to the Edm49. Tackled by  .,16,25
00:53,3,Pass,8,Mike Reilly pass to Shamawd Chambers for 8 yards to the Ham53. Tackled by  .,16,25
00:42,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,16,25
00:29,2,Pass,24,Mike Reilly pass to Shamawd Chambers for 24 yards to the Ham29. Tackled by  .,16,25
00:06,1,Pass,29,Mike Reilly pass to Fred Stamps for 29 yards for a TOUCHDOWN.,22,25
00:06,0,Made Extra Point,0,Hugh O'Neill extra point is good.,23,25
00:06,0,Kickoff,0,Hugh O'Neill kicks off to the Edm54. Bakari Grant - no return. Tackled by Mike Miller.,23,25
