Time,Down,Type,Yards,Details,Calgary,BC
00:36,1,Rush,4,Stefan Logan rush for 4 yards to the Cgy45. Tackled by  .,27,16
00:03,2,Fumble,23,"Kevin Glenn pass to Emmanuel Arceneaux for 23 yards to the Cgy22. FUMBLE, recovered by BC (Emmanuel Arceneaux).",27,16
15:00,1,Interception,43,Kevin Glenn pass intended for Ernest Jackson INTERCEPTED and returned for 43 yards. Tackled by Jermarcus Hardrick.,27,16
14:39,1,Pass,16,Bo Levi Mitchell pass to Joe West for 16 yards to the BC50.,27,16
14:16,1,Rush,1,Martell Mallett rush for 1 yard to the BC49. Tackled by Solomon Elimimian.,27,16
13:37,2,Pass,16,Bo Levi Mitchell pass to Eric Rogers for 16 yards to the BC33. Tackled by T.J. Lee.,27,16
13:14,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker defensed by Alex Hoffman-Ellis.,27,16
12:50,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Pierre Lavertu) -5 yards.,27,16
12:26,2,Fumble,5,"Bo Levi Mitchell pass to Marquay McDaniel for 5 yards to the BC33. FUMBLE, recovered by Cgy (Marquay McDaniel).",27,16
11:18,2,Missed Field Goal,41,Rene Paredes 41 yard field goal attempt is GOOD.,30,16
11:18,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,30,16
11:00,2,Rush,14,Stefan Logan rush for 14 yards to the BC49. Tackled by  .,30,16
10:22,1,Rush,12,Stefan Logan rush for 12 yards to the Cgy49. Tackled by Jamar Wall.,30,16
09:53,1,Pass,-1,Kevin Glenn pass to Rolly Lumbala for a loss of 1 yard to the Cgy50. Tackled by Keon Raymond.,30,16
09:09,2,Pass,14,Kevin Glenn pass to Stefan Logan for 14 yards to the Cgy36. Tackled by Juwan Simpson.,30,16
08:31,1,Pass,6,Kevin Glenn pass to Emmanuel Arceneaux for 6 yards to the Cgy30. Tackled by Keon Raymond.,30,16
