Time,Down,Type,Yards,Details,Hamilton,BC
13:02,1,Pass,9,Henry Burris pass to John Delahunt for 9 yards to the Ham46. Tackled by J.R. LaRose.,16,22
12:28,2,Rush,15,C.J. Gable rush for 15 yards to the BC49. Tackled by Keron Williams.,16,22
11:52,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,16,22
11:27,2,Pass,31,Henry Burris pass to Greg Ellingson for 31 yards to the BC18. Tackled by Josh Bell.,16,22
10:41,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson defensed by Cord Parks.,16,22
10:17,2,Fumble,-9,"Sack at BC27 for a loss of 9 yards by Keron Williams. FUMBLE, recovered by Ham (Brian Simmons).",16,22
09:39,3,Missed Field Goal,34,Luca Congi 34 yard field goal attempt is GOOD.,19,22
09:39,0,Kickoff,33,Luca Congi kicks off to the BC17. Tim Brown return for 33 yards to BC50. Tackled by Luca Congi.,19,22
09:31,1,Pass,13,Travis Lulay pass to Andrew Harris for 13 yards to the Ham47. Tackled by Brandon Isaac.,19,22
09:05,1,Rush,7,Tim Brown rush for 7 yards to the Ham40. Tackled by Simoni Lawrence.,19,22
08:27,2,Pass,10,Travis Lulay pass to Andrew Harris for 10 yards to the Ham30. Tackled by Simoni Lawrence.,19,22
07:58,1,Pass,14,Travis Lulay pass to Emmanuel Arceneaux for 14 yards to the Ham16. Tackled by Dee Webb.,19,22
07:14,1,Pass,14,Travis Lulay pass to Shawn Gore for 14 yards to the Ham2. Tackled by Emanuel Davis.,19,22
06:00,1,Rush,2,Travis Lulay rush for 2 yards for a TOUCHDOWN.,19,28
05:37,0,Made Extra Point,0,Paul McCallum extra point is good.,19,29
05:37,0,Kickoff,20,Paul McCallum kicks off to the Ham20. Tavoy Moore return for 20 yards to Ham40. Tackled by Cord Parks.,19,29
05:30,1,Pass,5,Henry Burris pass to Onrea Jones for 5 yards to the Ham45. Tackled by Cord Parks.,19,29
04:55,2,Pass,8,Henry Burris pass to Dave Stala for 8 yards to the Ham53. Tackled by Josh Bell.,19,29
04:17,1,Pass,10,Henry Burris pass to Tavoy Moore for 10 yards to the BC47. Tackled by Ryan Phillips.,19,29
03:35,2,Interception,31,Henry Burris pass intended for Dahrran Diedrick INTERCEPTED by Dante Marsh and returned for 31 yards. Tackled by Bakari Grant.,19,29
03:08,1,Pass,10,Travis Lulay pass to Shawn Gore for 10 yards to the Ham25. Tackled by Rico Murray.,19,29
02:42,2,Fumble,0,"Thomas DeMarco rush for no gain to the Ham25. FUMBLE, recovered by Ham (Brian Bulcke). Tackled by Dean Valli.",19,29
02:26,1,Pass,11,Henry Burris pass to Andy Fantuz for 11 yards to the Ham36. Tackled by Korey Banks.,19,29
02:19,1,Pass,10,Henry Burris pass to Andy Fantuz for 10 yards to the Ham46. Tackled by Korey Banks.,19,29
02:06,2,Rush,23,C.J. Gable rush for 23 yards to the BC41. Tackled by Lin-J Shell.,19,29
01:54,1,Sack,-8,Sack at BC49 for a loss of 8 yards by Lin-J Shell.,19,29
01:46,2,Pass,17,Henry Burris pass to Andy Fantuz for 17 yards to the BC32. Tackled by Lin-J Shell.,19,29
01:24,3,Rush,2,Dan LeFevour rush for 2 yards to the BC30. Tackled by Eric Taylor.,19,29
01:13,1,Pass,18,Henry Burris pass to Bakari Grant for 18 yards to the BC12. Tackled by Ryan Phillips.,19,29
00:51,1,Pass,10,Henry Burris pass to Greg Ellingson for 10 yards to the BC2. Tackled by Dante Marsh.,19,29
00:43,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,19,29
00:25,2,Pass,2,Henry Burris pass to Greg Ellingson for 2 yards for a TOUCHDOWN.,25,29
00:25,0,Made Extra Point,0,Luca Congi extra point is good.,26,29
00:25,0,Kickoff,-2,Luca Congi kicks off to the Ham50. Paris Jackson return for a loss of 2 yards to Ham52. Tackled by Marc Beswick.,26,29
