Time,Down,Type,Yards,Details,BC,Hamilton
11:40,2,Rush,2,John Beck rush for 2 yards to the BC42. Tackled by Simoni Lawrence.,17,12
11:06,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for  .,17,12
10:25,2,Pass,6,Kevin Glenn pass to Kito Poblah for 6 yards to the BC48. Tackled by Rico Murray.,17,12
10:15,3,Punt,25,Ricky Schmitt punts for 25 yards to Ham37. Terrell Sinkfield return for 25 yards to BC48. Tackled by Mike Benson.,17,12
09:37,1,Pass,25,Zach Collaros pass to Brandon Banks for 25 yards to the BC23. Tackled by Ronnie Yell.,17,12
09:23,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks.,17,12
09:04,2,Pass,9,Zach Collaros pass to Andy Fantuz for 9 yards to the BC14. Tackled by Cord Parks.,17,12
08:37,3,Rush,1,Zach Collaros rush for 1 yard to the BC13. Tackled by Solomon Elimimian.,17,12
08:27,1,Rush,0,Keola Antolin rush for no gain to the BC13. Tackled by Courtney Stephen.,17,12
07:56,2,Sack,-12,Sack at BC1 for a loss of 6 yards by Brandon Stewart,17,12
07:17,3,Safety,-7,Safety,17,14
07:17,0,Kickoff,16,Ricky Schmitt kicks off to the Ham33. Terrell Sinkfield return for 16 yards to Ham49. Tackled by Akwasi Antwi.,17,14
07:09,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,17,14
06:48,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Joel Figueroa) -5 yards.,17,14
06:30,2,Pass,1,Zach Collaros pass to Brandon Banks for 1 yard to the Ham45. Tackled by Ryan Phillips.,17,14
05:50,3,Punt,3,Justin Medlock punts for 61 yards to BC4. Marco Iannuzzi return for 3 yards to BC7. Tackled by Neil King.,17,14
05:35,1,Rush,-2,Keola Antolin rush for a loss of 2 yards to the BC5. Tackled by Eric Norwood.,17,14
04:45,2,Pass,4,Kevin Glenn pass to Shawn Gore for 4 yards to the BC9. Tackled by Rico Murray.,17,14
04:09,3,Safety,-9,Safety,17,16
04:09,0,Kickoff,24,Ricky Schmitt kicks off to the Ham35. Samuel Giguere return for 24 yards to BC51. Tackled by Akwasi Antwi.,17,16
04:03,1,Pass,13,Zach Collaros pass to Brandon Banks for 13 yards to the BC38. Tackled by Ronnie Yell.,17,16
03:18,1,Pass,23,Zach Collaros pass to Luke Tasker for 23 yards to the BC15. Tackled by Ryan Phillips.,17,16
03:00,1,Pass,5,Zach Collaros pass to Andy Fantuz for 5 yards to the BC10. Tackled by Adam Bighill.,17,16
02:49,0,Pass Interference,5,Penalty: Pass Interference on BC (Ronnie Yell) 5 yards.,17,16
02:26,1,Rush,4,Mossis Madu rush for 4 yards to the BC1. Tackled by Alex Bazzie.,17,16
02:21,2,Rush,0,Zach Collaros rush for no gain to the BC1. Tackled by Solomon Elimimian.,17,16
01:43,3,Missed Field Goal,8,Justin Medlock 8 yard field goal attempt is GOOD.,17,19
01:43,1,Pass,16,Kevin Glenn pass to Seydou Junior Haidara for 16 yards to the BC51. Tackled by Craig Butler.,17,19
01:37,1,Pass,10,Kevin Glenn pass to Keola Antolin for 10 yards to the Ham49. Tackled by Simoni Lawrence.,17,19
01:18,1,Sack,-2,Sack at Ham51 for a loss of 2 yards by Simoni Lawrence.,17,19
01:09,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,17,19
01:04,3,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Seydou Junior Haidara.,17,19
01:00,1,Rush,1,Mossis Madu rush for 1 yard to the Ham52. Tackled by Khreem Smith.,17,19
00:56,2,Rush,3,Mossis Madu rush for 3 yards to the Ham55. Tackled by Alex Bazzie.,17,19
00:52,3,Punt,3,Justin Medlock punts for 30 yards to BC25. Marco Iannuzzi return for 3 yards to BC28. Tackled by Arnaud Gascon-Nadon.,17,19
00:21,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Seydou Junior Haidara.,17,19
00:17,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Stephen Adekolu.,17,19
00:10,3,Pass,7,Kevin Glenn pass to Keola Antolin for 7 yards to the BC35. Tackled by Marcellus Bowman.,17,19
