Time,Down,Type,Yards,Details,BC,Saskatchewan
05:31,0,Kickoff,21,Ricky Schmitt kicks off to the Ssk11. Marshay Green return for 21 yards to Ssk32. Tackled by Solomon Elimimian.,26,13
05:14,1,Pass,6,Darian Durant pass to Rob Bagg for 6 yards to the Ssk38. Tackled by Ronnie Yell.,26,13
04:54,2,Pass,13,Darian Durant pass to Eron Riley for 13 yards to the Ssk51. Tackled by Cord Parks.,26,13
04:25,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,26,13
04:11,2,Pass,25,Darian Durant pass to Ryan Smith for 25 yards to the BC34. Tackled by Josh Johnson.,26,13
03:36,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Ryan Smith.,26,13
03:14,2,Interception,53,Darian Durant pass intended for Rob Bagg INTERCEPTED and returned for 53 yards. Tackled by Xavier Fulton.,26,13
02:33,1,Rush,4,Andrew Harris rush for 4 yards to the Ssk37. Tackled by Trevor Guyton.,26,13
02:13,2,Rush,4,Andrew Harris rush for 4 yards to the Ssk33. Tackled by Brian Peters.,26,13
01:54,3,Rush,-2,Andrew Harris rush for a loss of 2 yards to the Ssk35. Tackled by Trevor Guyton.,26,13
01:51,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Brett Swain defensed by Eric Taylor.,26,13
01:46,0,Holding,-10,Penalty: Holding on Saskatchewan (Xavier Fulton) -10 yards.,26,13
01:40,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Ryan Smith.,26,13
01:34,3,Punt,10,Josh Bartel punts for 43 yards to BC42. Andrew Harris return for 10 yards to BC52. Tackled by Samuel Hurl.,26,13
01:32,1,Rush,-1,Stefan Logan rush for a loss of 1 yard to the BC51. Tackled by John Chick.,26,13
01:13,2,Rush,7,Stefan Logan rush for 7 yards to the Ssk52. Tackled by Terrell Maze.,26,13
00:51,3,Punt,0,Ricky Schmitt punts for 33 yards to Ssk19. No return.,26,13
00:27,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Ryan Smith defensed by Jabar Westerman.,26,13
00:22,2,Pass,10,Darian Durant pass to Ryan Smith for 10 yards to the Ssk29. Tackled by Solomon Elimimian.,26,13
00:15,1,Pass,7,Darian Durant pass to Taj Smith for 7 yards to the Ssk36. Tackled by Dante Marsh.,26,13
00:01,2,Pass,5,Darian Durant pass to Taj Smith for 5 yards to the Ssk41. Tackled by Josh Johnson.,26,13
