Time,Down,Type,Yards,Details,BC,Montreal
00:53,2,Rush,10,Kevin Glenn rush for 10 yards to the Mtl38. Tackled by Geoff Tisdale.,3,20
00:20,3,Offside,5,Penalty: Offside on Montreal (Aaron Lavarias) 5 yards.,3,20
00:08,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Jovan Olafioye) -5 yards.,3,20
00:01,1,Pass,10,Kevin Glenn pass to Ernest Jackson for 10 yards to the Mtl28. Tackled by John Bowman.,3,20
15:00,2,Pass,14,Kevin Glenn pass to Courtney Taylor for 14 yards to the Mtl14. Tackled by Kyries Hebert.,3,20
14:18,1,Rush,3,Andrew Harris rush for 3 yards to the Mtl11. Tackled by Geoff Tisdale.,3,20
13:55,2,Interception,0,Kevin Glenn pass INTERCEPTED. No return.,3,20
13:37,1,Objectionable Conduct,19,Troy Smith pass to Brandon Whitaker for 9 yards to the Mtl34. Tackled by Ronnie Yell. Penalty: Objectionable Conduct on BC (Alex Bazzie) 10 yards.,3,20
13:20,1,Rush,17,Brandon Whitaker rush for 17 yards to the BC49. Tackled by Cord Parks.,3,20
12:34,1,Rush,1,Steven Lumbala rush for 1 yard to the BC48. Tackled by Eric Taylor.,3,20
11:55,2,Pass,20,Troy Smith pass to   for 20 yards to the BC28. Tackled by J.R. LaRose.,3,20
11:20,1,Pass,-2,Troy Smith pass to Steven Lumbala for a loss of 2 yards to the BC30. Tackled by Solomon Elimimian.,3,20
10:36,2,Pass,6,Troy Smith pass to   for 6 yards to the BC24. Tackled by Adam Bighill.,3,20
09:34,3,Field Goal Single,43,43 yard field goal attempt by Sean Whyte is NO GOOD (Single).,3,21
09:34,1,Rush,6,Kevin Glenn rush for 6 yards to the BC41. Tackled by Kyries Hebert.,3,21
09:11,2,Rush,9,Andrew Harris rush for 9 yards to the BC50. Tackled by Jerald Brown.,3,21
08:27,0,Illegal Block,10,Penalty: Illegal Block on Montreal (Korey Williams) 10 yards.,3,21
08:10,1,Pass,9,Kevin Glenn pass to Courtney Taylor for 9 yards to the BC49. Tackled by Kyries Hebert.,3,21
07:30,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Stefan Logan.,3,21
07:07,3,Punt,1,Ricky Schmitt punts for 43 yards to Mtl18. Larry Taylor return for 1 yard to Mtl19. Tackled by Jason Arakgi.,3,21
06:51,1,Rush,4,Steven Lumbala rush for 4 yards to the Mtl23. Tackled by Adam Bighill.,3,21
06:25,2,Rush,21,Troy Smith rush for 21 yards to the Mtl44.,3,21
05:36,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl49. Tackled by Adam Bighill.,3,21
04:48,2,Pass,17,Troy Smith pass to S.J. Green for 17 yards to the BC44. Tackled by Dante Marsh.,3,21
04:04,1,Rush,3,Brandon Whitaker rush for 3 yards to the BC41. Tackled by Khreem Smith.,3,21
03:32,2,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green.,3,21
02:34,3,Missed Field Goal,47,Sean Whyte 47 yard field goal attempt is GOOD.,3,24
02:35,1,Pass,11,Kevin Glenn pass to Rolly Lumbala for 11 yards to the BC46. Tackled by Geoff Tisdale.,3,24
02:27,1,Sack,-8,Sack at BC38 for a loss of 8 yards by Aaron Lavarias.,3,24
02:02,2,Roughing Passer,21,Kevin Glenn pass to Ernest Jackson for 6 yards to the BC44. Penalty: Roughing Passer on Montreal (Chip Cox) 15 yards.,3,24
01:45,1,Roughing Passer,36,John Beck pass to Korey Williams for 21 yards to the Mtl30. Tackled by Chris Smith. Penalty: Roughing Passer on Montreal (Kyries Hebert) 15 yards.,3,24
01:38,0,Illegal Contact,8,Penalty: Illegal Contact on Montreal (Billy Parker) 8 yards.,3,24
01:30,1,Incomplete Pass,0,John Beck incomplete pass intended for Ernest Jackson.,3,24
01:28,2,Incomplete Pass,0,John Beck incomplete pass intended for Andrew Harris.,3,24
01:20,3,Pass,7,John Beck pass to Courtney Taylor for 7 yards for a TOUCHDOWN.,9,24
01:20,1,Incomplete Pass,0,John Beck incomplete pass intended for Korey Williams.,9,24
01:20,0,Kickoff,0,Paul McCallum kicks off to the BC51. S.J. Green - no return. Tackled by Solomon Elimimian.,9,24
01:20,1,Rush,7,Steven Lumbala rush for 7 yards to the BC44. Tackled by Dante Marsh.,9,24
01:15,2,Rush,3,Steven Lumbala rush for 3 yards to the BC41. Tackled by Eric Taylor.,9,24
00:50,3,Rush,0,Tanner Marsh rush for no gain to the BC41. Tackled by Adam Bighill.,9,24
