Time,Down,Type,Yards,Details,BC,Toronto
03:52,3,Punt Single,0,Swayze Waters punts for 71 yards to BC0. No return (Single).,13,10
03:52,1,Chop Block,-15,Kevin Glenn incomplete pass intended for Marco Iannuzzi. Penalty: Chop Block on BC (Kirby Fabien) -15 yards.,13,10
03:40,2,Pass,8,Kevin Glenn pass to Stefan Logan for 8 yards to the BC28. Tackled by Antwaun Molden.,13,10
03:15,3,No Yards,39,Ricky Schmitt punts for 44 yards to Tor38. Penalty: No Yards on BC (Jamall Johnson) -5 yards.,13,10
02:30,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,13,10
02:23,2,Pass,10,Ricky Ray pass to Mike Bradwell for 10 yards to the Tor53. Tackled by Solomon Elimimian.,13,10
01:45,1,Pass,-4,Ricky Ray pass to Jeremiah Johnson for a loss of 4 yards to the Tor49. Tackled by Jabar Westerman.,13,10
01:10,2,Pass,23,Ricky Ray pass to Jeremiah Johnson for 23 yards to the BC38. Tackled by Cord Parks.,13,10
00:34,1,Rush,5,Curtis Steele rush for 5 yards to the BC33. Tackled by Khreem Smith.,13,10
00:07,0,Roughing Passer,15,Penalty: Roughing Passer on BC (Torri Williams) 15 yards.,13,10
00:01,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Zander Robinson.,13,10
14:44,2,Pass,18,Ricky Ray pass to Terrell Sinkfield for 18 yards for a TOUCHDOWN.,13,16
14:29,0,Made Extra Point,0,Swayze Waters extra point is good.,13,17
14:29,0,Kickoff,25,Swayze Waters kicks off to the BC17.   return for 25 yards to BC42. Tackled by Gregory Jones.,13,17
14:22,1,Rush,4,Stefan Logan rush for 4 yards to the BC46. Tackled by Shane Horton.,13,17
14:02,2,Pass,39,Kevin Glenn pass to Courtney Taylor for 39 yards to the Tor25. Tackled by Jermaine Gabriel.,13,17
13:16,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for  .,13,17
12:53,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,13,17
12:09,3,Missed Field Goal,32,Paul McCallum 32 yard field goal attempt is GOOD.,16,17
12:09,1,Rush,7,Curtis Steele rush for 7 yards to the Tor42. Tackled by Eric Taylor.,16,17
11:53,2,Rush,-2,Curtis Steele rush for a loss of 2 yards to the Tor40. Tackled by Alex Bazzie.,16,17
11:09,3,Punt,70,Swayze Waters punts for 52 yards to BC18.   return for 70 yards to Tor22. Tackled by Brendan Gillanders.,16,17
10:40,1,Rush,2,Shawn Gore rush for 2 yards to the Tor20. Tackled by Shea Emry.,16,17
10:28,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for  .,16,17
09:30,3,Missed Field Goal,27,Paul McCallum 27 yard field goal attempt is GOOD.,19,17
09:30,0,Kickoff,19,Ricky Schmitt kicks off to the Tor6. Terrell Sinkfield return for 19 yards to Tor25. Tackled by Solomon Elimimian.,19,17
09:25,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Terrell Sinkfield.,19,17
09:03,2,Pass,3,Ricky Ray pass to Mike Bradwell for 3 yards to the Tor28. Tackled by Adam Bighill.,19,17
08:38,3,Punt,6,Swayze Waters punts for 45 yards to BC37.   return for 6 yards to BC43. Tackled by Ivan Brown.,19,17
08:07,1,Rush,10,Stefan Logan rush for 10 yards to the BC53. Tackled by Jermaine Gabriel.,19,17
07:40,1,Rush,4,Stefan Logan rush for 4 yards to the Tor53. Tackled by Jermaine Gabriel.,19,17
06:27,2,Pass,53,Kevin Glenn pass to Emmanuel Arceneaux for 53 yards for a TOUCHDOWN.,25,17
06:08,0,Made Extra Point,0,Paul McCallum extra point is good.,26,17
