Time,Down,Type,Yards,Details,Hamilton,Saskatchewan
13:20,2,Interception,12,Zach Collaros pass intended for Samuel Giguere INTERCEPTED and returned for 12 yards. Tackled by Luke Tasker.,3,31
12:53,1,Rush,5,Anthony Allen rush for 5 yards to the Ssk12. Tackled by Frederic Plesius.,3,31
12:15,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,3,31
11:45,0,Unnecessary Roughness,6,Penalty: Unnecessary Roughness on Saskatchewan (Shomari Williams) 6 yards.,3,31
11:18,3,Illegal Participation,8,Josh Bartel punts for 67 yards to Ham37. Brandon Banks return for 18 yards to Ham55. Penalty: Illegal Participation on Hamilton (Delvin Breaux) -10 yards.,3,31
10:51,1,Pass,5,Zach Collaros pass to Bakari Grant for 5 yards to the Ham50. Tackled by Rod Williams.,3,31
10:42,2,Rush,11,Zach Collaros rush for 11 yards to the Ssk49. Tackled by Brian Peters.,3,31
10:13,1,Pass,15,Zach Collaros pass to Bakari Grant for 15 yards to the Ssk34. Tackled by Samuel Hurl.,3,31
09:46,1,Pass,9,Zach Collaros pass to Luke Tasker for 9 yards to the Ssk25. Tackled by Weldon Brown.,3,31
09:21,2,Rush,5,C.J. Gable rush for 5 yards to the Ssk20. Tackled by Ricky Foley.,3,31
09:05,0,Pass Interference,-16,Penalty: Pass Interference on Saskatchewan (Terrell Maze) -16 yards.,3,31
08:32,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,3,31
08:14,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,3,31
07:52,3,Objectionable Conduct,14,Zach Collaros pass to Luke Tasker for 4 yards for a TOUCHDOWN. Penalty: Objectionable Conduct on Saskatchewan 10 yards.,9,31
07:01,0,Made Extra Point,0,Justin Medlock extra point is good.,10,31
07:01,0,Kickoff,1,Justin Medlock kicks off to the Ssk4. Tristan Jackson return for 1 yard to Ssk5. Tackled by James Rogers.,10,31
06:58,1,Pass,4,Darian Durant pass to Neal Hughes for 4 yards to the Ssk9. Tackled by Rico Murray.,10,31
06:27,2,Rush,3,Anthony Allen rush for 3 yards to the Ssk12. Tackled by Simoni Lawrence.,10,31
05:46,3,Punt,11,Josh Bartel punts for 54 yards to Ham44. Brandon Banks return for 11 yards to Ham55. Tackled by Dylan Ainsworth.,10,31
05:15,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,10,31
04:48,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,10,31
04:24,3,No Yards,23,Justin Medlock punts for 28 yards to Ssk27. Penalty: No Yards on Hamilton (Marc Beswick) -5 yards.,10,31
