Time,Down,Type,Yards,Details,Edmonton,Saskatchewan
10:41,2,Incomplete Pass,0,Seth Doege incomplete pass.,7,24
10:11,3,Punt,5,Josh Bartel punts for 24 yards to Edm36. Kendial Lawrence return for 5 yards to Edm41. Tackled by Brett Swain.,7,24
09:53,1,Pass,10,Matt Nichols pass to Kendial Lawrence for 10 yards to the Edm51. Tackled by  .,7,24
09:36,2,Rush,1,Matt Nichols rush for 1 yard to the Edm52. Tackled by David Lee.,7,24
08:58,1,Pass,3,Matt Nichols pass to Tyler Thomas for 3 yards to the Edm55. Tackled by  .,7,24
08:24,1,Pass,20,Matt Nichols pass to Fred Stamps for 20 yards to the Ssk35. Tackled by Macho Harris.,7,24
07:34,1,Pass,6,Matt Nichols pass to Paris Jackson for 6 yards to the Ssk29.,7,24
07:24,2,Pass,12,Matt Nichols pass to Kendial Lawrence for 12 yards to the Ssk17. Tackled by  .,7,24
07:14,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Tyler Thomas defensed by Matt Webster.,7,24
06:58,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Paris Jackson.,7,24
06:38,3,Unnecessary Roughness,24,Hugh O'Neill 24 yard field goal attempt is GOOD. Penalty: Unnecessary Roughness on Edmonton (Andrew Jones) -15 yards. Penalty: Unnecessary Roughness on Saskatchewan (Tearrius George) 15 yards.,10,24
06:20,1,Incomplete Pass,0,Seth Doege incomplete pass intended for Weston Dressler.,10,24
06:06,2,Sack,-7,Sack at Ssk28 for a loss of 7 yards by Dexter McCoil.,10,24
05:10,3,Punt,0,Josh Bartel punts for 32 yards to Edm50. No return.,10,24
05:02,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Paris Jackson defensed by Woodny Turenne.,10,24
04:55,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Fred Stamps defensed by Macho Harris.,10,24
04:36,3,Holding,50,Hugh O'Neill punts for 45 yards to Ssk15. Penalty: No Yards on Edmonton -5 yards. Penalty: Holding on Saskatchewan (Matt Webster) 10 yards.,10,24
03:57,1,Fumble,7,"Anthony Allen rush for no gain to the Ssk10. FUMBLE, recovered by Edm (Willie Jefferson) and returned for 7 yards. Tackled by Seth Doege.",10,24
03:40,1,Rush,1,Tyler Thomas rush for 1 yard to the Ssk2. Tackled by Marvin Burdette.,10,24
03:11,2,Rush,2,Matt Nichols rush for 2 yards for a TOUCHDOWN.,16,24
03:11,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Edmonton -10 yards.,16,24
02:53,0,Made Extra Point,0,Hugh O'Neill extra point is good.,17,24
02:53,0,Kickoff,23,Hugh O'Neill kicks off to the Ssk12. Steven Miller return for 23 yards to Ssk35. Tackled by Calvin McCarty.,17,24
02:45,1,Rush,-2,Steven Miller rush for a loss of 2 yards to the Ssk33. Tackled by Almondo Sewell.,17,24
