Time,Down,Type,Yards,Details,Montreal,Calgary
11:46,3,Punt,12,Sean Whyte punts for 93 yards to Cgy0. Jock Sanders return for 12 yards to Cgy2. Tackled by Andrew Lue.,1,22
11:27,1,Rush,12,Jon Cornish rush for 12 yards to the Cgy14. Tackled by Jerald Brown.,1,22
10:59,1,Pass,11,Bo Levi Mitchell pass to Jeff Fuller for 11 yards to the Cgy25. Tackled by Jerald Brown.,1,22
10:28,1,Disqualification,53,Bo Levi Mitchell pass to Jon Cornish for 28 yards to the Cgy53. Tackled by Kyries Hebert. Penalty: Disqualification on Montreal (Kyries Hebert) 25 yards.,1,22
10:02,1,Pass,6,Bo Levi Mitchell pass to Brad Sinopoli for 6 yards to the Mtl26. Tackled by Billy Parker.,1,22
09:22,2,Rush,5,Matt Walter rush for 5 yards to the Mtl21. Tackled by Alan-Michael Cash.,1,22
08:46,1,Rush,5,Matt Walter rush for 5 yards to the Mtl16. Tackled by John Bowman.,1,22
07:48,2,Pass,16,Bo Levi Mitchell pass to Anthony Parker for 16 yards for a TOUCHDOWN.,1,28
07:26,0,Made Extra Point,0,Rene Paredes extra point is good.,1,29
07:26,0,Kickoff,9,Rene Paredes kicks off to the Mtl13. Larry Taylor return for 9 yards to Mtl22. Tackled by Brandon Smith.,1,29
07:19,1,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green defensed by Buddy Jackson.,1,29
06:55,2,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green.,1,29
06:37,0,Running into Kicker,10,Penalty: Running into Kicker on Calgary (Lin-J Shell) 10 yards.,1,29
06:11,0,Holding,-10,Penalty: Holding on Montreal (Josh Bourke) -10 yards.,1,29
05:50,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,1,29
05:28,2,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green.,1,29
05:00,3,Punt,8,Sean Whyte punts for 49 yards to Cgy39. Jock Sanders return for 8 yards to Cgy47. Tackled by Mike Edem.,1,29
04:42,1,Rush,8,Matt Walter rush for 8 yards to the Cgy55. Tackled by Billy Parker.,1,29
04:10,2,Rush,5,Matt Walter rush for 5 yards to the Mtl50. Tackled by Chip Cox.,1,29
03:28,1,Rush,3,Matt Walter rush for 3 yards to the Mtl47. Tackled by Michael Klassen.,1,29
02:59,2,Rush,1,Jock Sanders rush for 1 yard to the Mtl46. Tackled by Michael Klassen.,1,29
02:42,3,Punt,0,Rob Maver punts for 28 yards to Mtl18. No return.,1,29
02:19,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Kenny Stafford.,1,29
02:15,2,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green defensed by Adam Berger.,1,29
02:10,3,Punt,24,Sean Whyte punts for 52 yards to Cgy40. Jock Sanders return for 24 yards to Mtl46. Tackled by Andrew Lue.,1,29
01:58,1,Rush,3,Matt Walter rush for 3 yards to the Mtl43. Tackled by Chip Cox.,1,29
01:54,2,Rush,3,Matt Walter rush for 3 yards to the Mtl40. Tackled by John Bowman.,1,29
01:31,3,Punt,0,Rob Maver punts for 25 yards to Mtl15. No return.,1,29
01:09,1,Pass,5,Troy Smith pass to Eric Deslauriers for 5 yards to the Mtl20. Tackled by Buddy Jackson.,1,29
01:04,2,Pass,9,Troy Smith pass to Kenny Stafford for 9 yards to the Mtl29. Tackled by Jamar Wall.,1,29
00:57,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,1,29
00:46,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Eric Deslauriers.,1,29
00:42,3,Roughing Passer,42,Troy Smith pass to Dave Stala for 27 yards to the Cgy54. Tackled by Adam Berger. Penalty: Roughing Passer on Calgary (Shawn Lemon) 15 yards.,1,29
00:33,1,Roughing Passer,15,Troy Smith incomplete pass intended for S.J. Green. Penalty: Roughing Passer on Calgary (Keenan MacDougall) 15 yards.,1,29
00:30,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Kenny Stafford.,1,29
00:19,2,Pass,13,Troy Smith pass to Eric Deslauriers for 13 yards to the Cgy11. Tackled by Deron Mayo.,1,29
00:13,0,Pass Interference,10,Penalty: Pass Interference on Calgary (Buddy Jackson) 10 yards.,1,29
00:00,1,Rush,2,Steven Lumbala rush for 1 yard to the Cgy0. Steven Lumbala rush for 1 yard for a TOUCHDOWN.,7,29
00:00,0,Made Extra Point,0,Sean Whyte extra point is good. Sean Whyte extra point is good.,9,29
