Time,Down,Type,Yards,Details,Montreal,Hamilton
07:18,1,Rush,0,Robert Godhigh rush for no gain to the Ham48. Tackled by Brandon Thurmond.,20,14
06:47,2,Sack,-11,Sack at Mtl51 for a loss of 11 yards by Brandon Thurmond.,20,14
06:26,3,Holding,54,Delbert Alvarado punts for 48 yards to Ham11. Penalty: Holding on Hamilton 6 yards.,20,14
05:34,1,Pass,39,Jeremiah Masoli pass to Bakari Grant for 39 yards to the Ham44. Tackled by Chris Smith.,20,14
05:00,1,Pass,9,Jeremiah Masoli pass to Cary Koch for 9 yards to the Ham53. Tackled by Chris Smith.,20,14
03:55,2,Rush,2,Jeremiah Masoli rush for 2 yards to the Ham55. Tackled by Michael Klassen.,20,14
03:21,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Brandon Banks.,20,14
03:11,0,Pass Interference,35,Penalty: Pass Interference on Montreal (Jamaan Webb) 35 yards.,20,14
02:28,1,Pass,20,Jeremiah Masoli pass to Luke Tasker for 20 yards for a TOUCHDOWN.,20,20
02:10,0,Made Extra Point,0,Brett Lauther extra point is good.,20,21
02:10,0,Kickoff,21,Brett Lauther kicks off to the Mtl6. Brandon Rutley return for 21 yards to Mtl27. Tackled by Neil King.,20,21
02:03,1,Rush,5,Robert Godhigh rush for 5 yards to the Mtl32. Tackled by Bryan Hall.,20,21
01:34,2,Pass,13,Collin Klein pass to Brandon London for 13 yards to the Mtl45.,20,21
01:10,1,Pass,8,Collin Klein pass to Kyle Graves for 8 yards to the Mtl53. Tackled by Damien Jackson.,20,21
00:47,2,Rush,2,Robert Godhigh rush for 2 yards to the Mtl55. Tackled by Bryan Hall.,20,21
00:12,1,Pass,25,Collin Klein pass to Eric Deslauriers for 25 yards to the Ham30. Tackled by James Rogers.,20,21
15:00,1,Incomplete Pass,0,Collin Klein incomplete pass intended for Kyle Graves defensed by Erik Harris.,20,21
