Time,Down,Type,Yards,Details,Ottawa,Montreal
06:06,0,Kickoff,20,Brett Maher kicks off to the Mtl10. Tyrell Sutton return for 20 yards to Mtl30. Tackled by Andrew Marshall.,10,13
05:53,1,Roughing Passer,63,Jonathan Crompton pass to Duron Carter for 48 yards to the Ott32. Tackled by Abdul Kanneh. Penalty: Roughing Passer on Ottawa ( ) 15 yards.,10,13
05:34,1,Objectionable Conduct,7,James Rodgers rush for 17 yards for a TOUCHDOWN. Penalty: Objectionable Conduct on Montreal (Brandon London) -10 yards.,10,19
04:50,0,Made Extra Point,0,Sean Whyte extra point is good.,10,20
04:50,0,Kickoff,23,Sean Whyte kicks off to the Ott25. Jamill Smith return for 23 yards to Ott48. Tackled by Brian Brikowski.,10,20
04:30,1,Pass,9,Henry Burris pass to Marcus Henry for 9 yards to the Mtl53. Tackled by Bear Woods.,10,20
04:06,2,Rush,2,Henry Burris rush for 2 yards to the Mtl51. Tackled by Michael Klassen.,10,20
03:40,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,10,20
03:30,0,Illegal Block,-10,Penalty: Illegal Block on Ottawa (D.J. Young) -10 yards.,10,20
03:03,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,10,20
02:43,3,Punt,9,Brett Maher punts for 43 yards to Mtl18. James Rodgers return for 9 yards to Mtl27. Tackled by Travis Brown.,10,20
02:32,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl32. Tackled by Justin Capicciotti.,10,20
02:28,2,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl35. Tackled by Justin Capicciotti.,10,20
02:24,3,Punt,8,Sean Whyte punts for 47 yards to Ott28. Jamill Smith return for 8 yards to Ott36. Tackled by Mike Edem.,10,20
02:09,1,Pass,9,Henry Burris pass to Marcus Henry for 9 yards to the Ott45. Tackled by Mitchell White.,10,20
02:04,2,Rush,2,Henry Burris rush for 2 yards to the Ott47. Tackled by Jermaine McElveen.,10,20
01:56,1,Pass,25,Henry Burris pass to Wallace Miles for 25 yards to the Mtl38. Tackled by Chip Cox.,10,20
01:35,1,Rush,8,Henry Burris rush for 8 yards to the Mtl30.,10,20
01:30,2,Rush,1,Henry Burris rush for 1 yard to the Mtl29. Tackled by Alan-Michael Cash.,10,20
01:24,3,Rush,0,Henry Burris rush for no gain to the Mtl29. Tackled by John Bowman.,10,20
01:24,0,Unnecessary Roughness,-15,Penalty: Unnecessary Roughness on Montreal (S.J. Green) -15 yards.,10,20
01:19,1,Rush,1,Tyrell Sutton rush for 1 yard to the Mtl15. Tackled by Travis Brown.,10,20
01:14,2,Rush,14,Tyrell Sutton rush for 14 yards to the Mtl29. Tackled by Abdul Kanneh.,10,20
00:28,3,Punt,8,Sean Whyte punts for 45 yards to Ott36. Jamill Smith return for 8 yards to Ott44. Tackled by Martin Bedard.,10,20
00:17,1,Pass,7,Danny O'Brien pass to Dobson Collins for 7 yards to the Ott51. Tackled by Geoff Tisdale.,10,20
00:10,2,Pass,18,Danny O'Brien pass to Khalil Paden for 18 yards to the Mtl41. Tackled by Chip Cox.,10,20
