Time,Down,Type,Yards,Details,Edmonton,Montreal
06:31,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for A.J. Guyton.,30,14
06:18,2,Rush,5,Mike Reilly rush for 5 yards to the Edm54. Tackled by Gabriel Knapton.,30,14
05:49,3,Punt,17,Grant Shaw punts for 39 yards to Mtl17. Bo Bowling return for 17 yards to Mtl34. Tackled by Grant Shaw.,30,14
05:19,1,Pass,6,Troy Smith pass to Bo Bowling for 6 yards to the Mtl40. Tackled by Rennie Curran.,30,14
04:54,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Eric Deslauriers.,30,14
04:45,3,Fumble,10,"Sean Whyte punts for 35 yards to Edm35. Jamal Miles return for no gain to Edm35. FUMBLE, recovered by Mtl (Nicolas Boulay) and returned for 10 yards. Tackled by Dexter McCoil.",30,14
04:29,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Bo Bowling.,30,14
04:10,2,Incomplete Pass,0,Troy Smith incomplete pass intended for  .,30,14
03:46,3,Missed Field Goal,32,Sean Whyte 32 yard field goal attempt is GOOD.,30,17
03:41,1,Pass,8,Mike Reilly pass to Kendial Lawrence for 8 yards to the Edm43. Tackled by Chip Cox.,30,17
03:02,2,Rush,0,Kendial Lawrence rush for no gain to the Edm43. Tackled by Gabriel Knapton.,30,17
02:41,3,Punt,1,Grant Shaw punts for 38 yards to Mtl29. Bo Bowling return for 1 yard to Mtl30. Tackled by Ryan King.,30,17
02:21,1,Pass,16,Troy Smith pass to   for 16 yards to the Mtl46. Tackled by Aaron Grymes.,30,17
02:14,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Eric Deslauriers defensed by Otha Foster.,30,17
02:09,2,Pass,0,Troy Smith pass to Brandon Whitaker for no gain to the Mtl46. Tackled by Rennie Curran.,30,17
02:01,3,Sack,-6,Sack at Mtl40 for a loss of 6 yards by Eddie Steele.,30,17
01:50,1,Rush,5,Pat White rush for 5 yards to the Mtl35.,30,17
01:42,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for A.J. Guyton defensed by Jerald Brown.,30,17
01:15,3,Missed Field Goal,43,Grant Shaw 43 yard field goal attempt is GOOD.,33,17
01:15,1,Fumble,22,"Troy Smith pass INTERCEPTED and returned for 22 yards., recovered by Mtl (Brandon Whitaker). FUMBLE",33,17
01:00,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Eric Deslauriers.,33,17
00:55,0,Pass Interference,15,Penalty: Pass Interference on Edmonton (Chris Rwabukamba) 15 yards.,33,17
00:48,1,Sack,-8,Sack at Edm43 for a loss of 8 yards by Gregory Alexandre.,33,17
00:30,2,Pass,43,Troy Smith pass to Brandon Whitaker for 43 yards for a TOUCHDOWN.,33,23
00:30,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Dahrran Diedrick.,33,23
00:30,0,Kickoff,12,Sean Whyte kicks off to the Mtl47.,33,23
