Time,Down,Type,Yards,Details,Montreal,Ottawa
07:14,3,Rush,1,Tanner Marsh rush for 1 yard to the Mtl27. Tackled by Damaso Munoz.,23,17
06:45,1,Pass,6,Jonathan Crompton pass to Chris Rainey for 6 yards to the Mtl33. Tackled by Jerrell Gavins.,23,17
06:10,2,Pass,17,Jonathan Crompton pass to S.J. Green for 17 yards to the Mtl50. Tackled by Jerrell Gavins.,23,17
05:20,1,Pass,7,Jonathan Crompton pass to James Rodgers for 7 yards to the Ott53. Tackled by Jerrell Gavins.,23,17
04:45,2,Rush,2,Tyrell Sutton rush for 2 yards to the Ott51. Tackled by Antoine Pruneau.,23,17
04:22,3,Rush,2,Tanner Marsh rush for 2 yards to the Ott49. Tackled by Travis Brown.,23,17
03:35,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter defensed by Abdul Kanneh.,23,17
02:57,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green defensed by Marlon Smith.,23,17
02:45,3,Punt,2,Sean Whyte punts for 41 yards to Ott8. Roy Finch return for 2 yards to Ott10. Tackled by Bryn Roy.,23,17
02:31,1,Pass,7,Henry Burris pass to Scott MacDonell for 7 yards to the Ott17. Tackled by Bear Woods.,23,17
02:20,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Khalil Paden.,23,17
02:04,3,Punt,3,Brett Maher punts for 41 yards to Mtl52. James Rodgers return for 3 yards to Mtl55. Tackled by  .,23,17
01:55,1,Rush,5,Tyrell Sutton rush for 5 yards to the Ott50. Tackled by Abdul Kanneh.,23,17
01:49,2,Rush,4,Tyrell Sutton rush for 4 yards to the Ott46. Tackled by Damaso Munoz.,23,17
01:43,3,Illegal Interference,23,Sean Whyte punts for 33 yards to Ott13. Penalty: Illegal Interference on Montreal (Nicolas Boulay) -10 yards.,23,17
01:15,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,23,17
01:09,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Scott MacDonell.,23,17
01:05,3,Pass,8,Henry Burris pass to Scott MacDonell for 8 yards to the Ott31. Tackled by Chip Cox.,23,17
00:58,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal -5 yards.,23,17
00:50,1,Rush,5,Tyrell Sutton rush for 5 yards to the Ott31. Tackled by Keith Shologan.,23,17
00:45,2,Rush,3,Tyrell Sutton rush for 3 yards to the Ott28. Tackled by Keith Shologan.,23,17
