Time,Down,Type,Yards,Details,Winnipeg,Edmonton
00:52,2,Pass,5,Mike Reilly pass to Adarius Bowman for 5 yards to the Edm46. Tackled by Demond Washington.,6,40
00:22,1,Face Mask,28,John White rush for 13 yards to the Wpg51. Tackled by Louie Richardson. Penalty: Face Mask on Winnipeg (Louie Richardson) 15 yards.,6,40
15:00,1,Sack,-3,Sack at Wpg39 for a loss of 3 yards by Greg Peach.,6,40
14:30,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for A.J. Guyton.,6,40
13:38,3,Punt Single,0,Hugh O'Neill punts for 47 yards to Wpg0. No return (Single).,6,41
13:38,1,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,6,41
13:21,1,Rush,15,Paris Cotton rush for 15 yards to the Wpg55. Tackled by Dexter McCoil.,6,41
13:05,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Clarence Denmark.,6,41
12:46,2,Pass,25,Brian Brohm pass to Rory Kohlert for 25 yards to the Edm30. Tackled by Cauchy Muamba.,6,41
12:04,1,Pass,5,Brian Brohm pass to Nick Moore for 5 yards to the Edm25. Tackled by Marcell Young.,6,41
11:47,2,Pass,6,Brian Brohm pass to Cory Watson for 6 yards to the Edm19. Tackled by Aaron Grymes.,6,41
11:04,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Paris Cotton defensed by Willie Jefferson.,6,41
10:40,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Rory Kohlert defensed by Alonzo Lawrence.,6,41
10:03,3,Missed Field Goal,26,Lirim Hajrullahu 26 yard field goal attempt is GOOD.,9,41
10:03,0,Ineligible Receiver,-10,Penalty: Ineligible Receiver on Edmonton (Kendial Lawrence) -10 yards.,9,41
09:49,1,Pass,6,Matt Nichols pass to John White for 6 yards to the Edm31. Tackled by Ian Wild.,9,41
09:17,2,Rush,4,Matt Nichols rush for 4 yards to the Edm35. Tackled by Teague Sherman.,9,41
08:39,3,No Yards,14,Hugh O'Neill punts for 29 yards to Wpg46. Penalty: No Yards on Edmonton (Mike Dubuisson) -15 yards.,9,41
08:09,1,Rush,-1,Sam McGuffie rush for a loss of 1 yard to the Edm50. Tackled by Almondo Sewell.,9,41
07:40,2,Offside,5,Penalty: Offside on Edmonton (Willie Jefferson) 5 yards.,9,41
07:15,2,Pass,13,Brian Brohm pass to Rory Kohlert for 13 yards to the Edm32. Tackled by Aaron Grymes.,9,41
06:52,1,Rush,7,Paris Cotton rush for 7 yards to the Edm25. Tackled by Ryan Hinds.,9,41
06:04,2,Rush,0,Paris Cotton rush for no gain to the Edm25. Tackled by Almondo Sewell.,9,41
05:34,3,Incomplete Pass,0,Brian Brohm incomplete pass intended for Clarence Denmark defensed by Bo Adebayo.,9,41
05:06,1,Pass,11,Matt Nichols pass to Adarius Bowman for 11 yards to the Edm36. Tackled by Chris Randle.,9,41
04:44,1,Rush,15,John White rush for 15 yards to the Edm51. Tackled by Maurice Leggett.,9,41
04:10,1,Rush,4,John White rush for 4 yards to the Edm55. Tackled by Ian Wild.,9,41
03:34,2,Rush,10,John White rush for 10 yards to the Wpg45. Tackled by Louie Richardson.,9,41
02:56,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Calvin McCarty.,9,41
