Time,Down,Type,Yards,Details,Ottawa,Winnipeg
13:07,2,Pass,11,Henry Burris pass to Marcus Henry for 11 yards to the Wpg16. Tackled by Matt Bucknor.,25,20
12:26,1,Rush,4,Chevon Walker rush for 4 yards to the Wpg12. Tackled by Greg Peach.,25,20
11:47,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,25,20
11:08,3,Missed Field Goal,19,Brett Maher 19 yard field goal attempt is GOOD.,28,20
10:52,0,Kickoff,96,Brett Maher kicks off to the Wpg14. Demond Washington return for 96 yards to Ott0 for a TOUCHDOWN.,28,26
10:52,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore.,28,26
10:29,0,Unnecessary Roughness,36,Lirim Hajrullahu kicks off to the Ott7. Jamill Smith return for 21 yards to Ott28. Tackled by Johnny Sears Jr.. Penalty: Unnecessary Roughness on Winnipeg (Don Unamba) 15 yards.,28,26
10:22,1,Rush,1,Chevon Walker rush for 1 yard to the Ott44. Tackled by Greg Peach.,28,26
09:46,2,Pass,2,Henry Burris pass to Marcus Henry for 2 yards to the Ott46. Tackled by Desia Dunn.,28,26
09:18,3,Holding,-4,Brett Maher punts for 43 yards to Wpg21. Aaron Woods return for 6 yards to Wpg27. Penalty: Holding on Winnipeg (Jesse Briggs) -10 yards.,28,26
08:53,1,Offside,5,Penalty: Offside on Ottawa (Chris McCoy) 5 yards.,28,26
08:40,1,Rush,5,Nic Grigsby rush for 5 yards to the Wpg27. Tackled by Jeremiah Green.,28,26
08:06,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,28,26
07:45,2,Sack,-6,Sack at Wpg21 for a loss of 6 yards by Travis Brown.,28,26
07:17,3,Illegal Block,-5,Mike Renaud punts for 44 yards to Ott45. Jamill Smith return for 5 yards to Ott50. Penalty: Illegal Block on Ottawa (Matt Carter) -10 yards.,28,26
06:53,0,Holding,-10,Penalty: Holding on Ottawa (Jon Gott) -10 yards.,28,26
06:33,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry defensed by Johnny Sears Jr..,28,26
06:10,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,28,26
05:46,3,Punt,10,Brett Maher punts for 40 yards to Wpg40. Aaron Woods return for 10 yards to Wpg50. Tackled by Justin Phillips.,28,26
05:24,1,Pass,7,Drew Willy pass to Rory Kohlert for 7 yards to the Ott53. Tackled by Eddie Elder.,28,26
04:50,2,Pass,6,Drew Willy pass to Nick Moore for 6 yards to the Ott47. Tackled by Eric Fraser.,28,26
04:30,1,Pass,11,Drew Willy pass to Aaron Kelly for 11 yards to the Ott36. Tackled by Eddie Elder.,28,26
03:47,1,Objectionable Conduct,28,Nic Grigsby rush for 20 yards to the Ott16. Tackled by Eric Fraser. Penalty: Objectionable Conduct on Ottawa (Jerrell Gavins) 8 yards.,28,26
03:21,1,Rush,5,Nic Grigsby rush for 5 yards to the Ott3. Tackled by Chris McCoy.,28,26
02:33,2,Rush,3,Nic Grigsby rush for 3 yards for a TOUCHDOWN.,28,32
02:33,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,28,33
02:33,0,Unnecessary Roughness,31,Lirim Hajrullahu kicks off to the Ott14. Jamill Smith return for 16 yards to Ott30. Tackled by Johnny Sears Jr.. Penalty: Unnecessary Roughness on Winnipeg (Johnny Sears Jr.) 15 yards.,28,33
02:25,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,28,33
02:19,2,Fumble,-13,"Sack at Ott32 for a loss of 13 yards by Greg Peach. FUMBLE, recovered by Ott (Marcus Henry).",28,33
02:07,3,Punt,4,Brett Maher punts for 52 yards to Wpg26. Aaron Woods return for 4 yards to Wpg30. Tackled by Antoine Pruneau.,28,33
01:55,1,Rush,3,Nic Grigsby rush for 3 yards to the Wpg33. Tackled by Brandon Lang.,28,33
01:50,2,Pass,47,Drew Willy pass to Aaron Kelly for 47 yards to the Ott30. Tackled by Eddie Elder.,28,33
01:43,1,Rush,0,Nic Grigsby rush for no gain to the Ott30. Tackled by Jeremiah Green.,28,33
01:17,2,Rush,0,Nic Grigsby rush for no gain to the Ott30. Tackled by Keith Shologan.,28,33
00:30,3,Missed Field Goal,37,Lirim Hajrullahu 37 yard field goal attempt is GOOD.,28,36
00:30,1,Rush,3,Henry Burris rush for 3 yards to the Ott38. Tackled by Johnny Sears Jr..,28,36
00:23,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,28,36
00:11,3,Time Count,-10,Penalty: Time Count on Ottawa (Henry Burris) -10 yards.,28,36
00:11,3,Incomplete Pass,0,Henry Burris incomplete pass intended for Paris Jackson.,28,36
