Time,Down,Type,Yards,Details,Montreal,Winnipeg
09:12,1,Pass,24,Jonathan Crompton pass to S.J. Green for 24 yards to the Wpg51. Tackled by Bruce Johnson.,13,14
08:37,1,Rush,3,Brandon Whitaker rush for 3 yards to the Wpg48. Tackled by Ian Wild.,13,14
08:05,2,Pass,18,Jonathan Crompton pass to S.J. Green for 18 yards to the Wpg30. Tackled by Maurice Leggett.,13,14
07:22,1,Pass,8,Jonathan Crompton pass to Tyrell Sutton for 8 yards to the Wpg22. Tackled by Ian Wild.,13,14
06:35,2,Rush,3,Tanner Marsh rush for 3 yards to the Wpg19. Tackled by Kashawn Fraser.,13,14
05:57,1,Rush,5,Jonathan Crompton rush for 5 yards to the Wpg14. Tackled by Ian Wild.,13,14
05:15,2,Rush,0,Jonathan Crompton rush for no gain to the Wpg14. Tackled by Kashawn Fraser.,13,14
04:18,3,Missed Field Goal,21,Sean Whyte 21 yard field goal attempt is GOOD.,16,14
04:18,0,Kickoff,20,Sean Whyte kicks off to the Wpg16. Troy Stoudermire return for 20 yards to Wpg36. Tackled by Chip Cox.,16,14
04:09,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore.,16,14
03:52,2,Pass,21,Drew Willy pass to Cory Watson for 21 yards to the Mtl53. Tackled by Kyries Hebert.,16,14
03:12,1,Pass,5,Drew Willy pass to Nic Grigsby for 5 yards to the Mtl48. Tackled by Bear Woods.,16,14
02:52,0,Pass Interference,10,Penalty: Pass Interference on Montreal (Billy Parker) 10 yards.,16,14
02:37,1,Rush,12,Nic Grigsby rush for 12 yards to the Mtl26. Tackled by Mike Edem.,16,14
02:08,1,Rush,26,Nic Grigsby rush for 26 yards for a TOUCHDOWN.,16,20
02:08,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,16,21
02:08,0,Kickoff,22,Lirim Hajrullahu kicks off to the Mtl3. Larry Taylor return for 22 yards to Mtl25. Tackled by Paris Cotton.,16,21
02:02,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter defensed by Chris Randle.,16,21
01:55,2,Objectionable Conduct,38,Jonathan Crompton pass intended for S.J. Green INTERCEPTED and returned for 30 yards. Tackled by Brandon Whitaker. Penalty: Objectionable Conduct on Montreal (S.J. Green) 8 yards.,16,21
01:44,1,Rush,-6,Nic Grigsby rush for a loss of 6 yards to the Mtl14. Tackled by Alan-Michael Cash.,16,21
01:39,2,Rush,5,Nic Grigsby rush for 5 yards to the Mtl9. Tackled by Kyries Hebert.,16,21
00:53,3,Missed Field Goal,16,Lirim Hajrullahu 16 yard field goal attempt is GOOD.,16,24
00:53,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green defensed by Demond Washington.,16,24
00:49,2,Pass,4,Jonathan Crompton pass to Brandon Whitaker for 4 yards to the Mtl39. Tackled by Ian Wild.,16,24
00:40,3,Holding,23,Jonathan Crompton pass intended for Duron Carter INTERCEPTED and returned for 33 yards. Penalty: Holding on Winnipeg (Bryant Turner Jr.) -10 yards.,16,24
