Time,Down,Type,Yards,Details,BC,Winnipeg
10:46,0,Holding,-10,Penalty: Holding on Winnipeg (Jace Daniels) -10 yards.,13,17
10:25,1,Interception,4,Drew Willy pass intended for Justin Wilson INTERCEPTED and returned for 4 yards. Tackled by Justin Wilson.,13,17
10:06,0,Pass Interference,28,Penalty: Pass Interference on Winnipeg (Bruce Johnson) 28 yards.,13,17
09:38,1,Pass,12,John Beck pass to Ernest Jackson for 12 yards for a TOUCHDOWN.,19,17
09:26,0,Made Extra Point,0,Paul McCallum extra point is good.,20,17
09:26,0,Kickoff,34,Ricky Schmitt kicks off to the Wpg12. Troy Stoudermire return for 34 yards to Wpg46. Tackled by Torri Williams.,20,17
09:17,1,Rush,3,Paris Cotton rush for 3 yards to the Wpg49. Tackled by Eric Taylor.,20,17
08:47,2,Sack,-11,Sack at Wpg38 for a loss of 11 yards by Khreem Smith.,20,17
08:13,3,Punt,42,Lirim Hajrullahu punts for 43 yards to BC29. Keola Antolin return for 42 yards to Wpg39. Tackled by Lirim Hajrullahu.,20,17
07:50,1,Rush,1,Keola Antolin rush for 1 yard to the Wpg38. Tackled by Ian Wild.,20,17
07:12,2,Time Count,-5,Penalty: Time Count on BC (John Beck) -5 yards.,20,17
06:51,2,Incomplete Pass,0,John Beck incomplete pass intended for Kito Poblah.,20,17
06:24,3,Punt Single,0,Paul McCallum punts for 52 yards to Wpg0. No return (Single).,21,17
06:24,1,Sack,-6,Sack at Wpg29 for a loss of 6 yards by Khreem Smith.,21,17
05:46,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Paris Cotton.,21,17
05:23,3,Punt,13,Lirim Hajrullahu punts for 45 yards to BC36. Marco Iannuzzi return for 13 yards to BC49. Tackled by Don Unamba.,21,17
05:11,1,Pass,6,John Beck pass to Emmanuel Arceneaux for 6 yards to the BC55. Tackled by Matt Bucknor.,21,17
04:10,2,Pass,55,John Beck pass to Kito Poblah for 55 yards for a TOUCHDOWN.,27,17
03:52,0,Made Extra Point,0,Paul McCallum extra point is good.,28,17
03:52,0,Kickoff,12,Ricky Schmitt kicks off to the Wpg36. Will Smith return for 12 yards to Wpg48. Tackled by Akwasi Antwi.,28,17
03:47,1,Rush,0,Paris Cotton rush for no gain to the Wpg48. Tackled by Khreem Smith.,28,17
03:31,2,Pass,7,Drew Willy pass to Paris Cotton for 7 yards to the Wpg55. Tackled by Solomon Elimimian.,28,17
03:08,3,Pass,48,Drew Willy pass to Rory Kohlert for 48 yards to the BC7. Tackled by J.R. LaRose.,28,17
02:45,1,Rush,5,Paris Cotton rush for 5 yards to the BC2. Tackled by J.R. LaRose.,28,17
02:27,2,Rush,2,Paris Cotton rush for 2 yards for a TOUCHDOWN.,28,23
02:27,0,Incomplete Pass,0,Drew Willy incomplete pass intended for Romby Bryant.,28,23
02:27,0,Kickoff,30,Lirim Hajrullahu kicks off to the BC15. Marco Iannuzzi return for 30 yards to BC45. Tackled by Dan West.,28,23
02:20,1,Rush,9,Keola Antolin rush for 9 yards to the BC54. Tackled by Chris Randle.,28,23
02:15,2,Rush,1,John Beck rush for 1 yard to the BC55. Tackled by Teague Sherman.,28,23
01:50,1,Rush,9,Keola Antolin rush for 9 yards to the Wpg46. Tackled by Will Smith.,28,23
01:29,2,Rush,1,John Beck rush for 1 yard to the Wpg45. Tackled by Ian Wild.,28,23
01:25,1,Rush,2,Keola Antolin rush for 2 yards to the Wpg43. Tackled by Ian Wild.,28,23
01:06,2,Sack,-4,Sack at Wpg47 for a loss of 4 yards by Johnny Sears Jr..,28,23
00:45,3,Time Count,-10,Penalty: Time Count on BC (Paul McCallum) -10 yards.,28,23
00:24,3,Punt,3,Paul McCallum punts for 34 yards to Wpg23. Troy Stoudermire return for 3 yards to Wpg26.,28,23
00:20,1,Pass,6,Drew Willy pass to Justin Wilson for 6 yards to the Wpg32. Tackled by T.J. Lee.,28,23
00:16,2,Pass,16,Drew Willy pass to Romby Bryant for 16 yards to the Wpg48. Tackled by Adam Bighill.,28,23
00:11,1,Pass,12,Drew Willy pass to Rory Kohlert for 12 yards to the BC50. Tackled by Solomon Elimimian.,28,23
00:02,1,Sack,-10,Sack at Wpg50 for a loss of 10 yards by J.R. LaRose.,28,23
