Time,Down,Type,Yards,Details,Hamilton,Calgary
15:00,2,Rush,2,Drew Tate rush for 2 yards to the Ham17. Tackled by Hasan Hazime.,22,16
14:17,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Larry Taylor.,22,16
14:07,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,22,16
13:27,3,Missed Field Goal,24,Rene Paredes 24 yard field goal attempt is GOOD.,22,19
13:27,1,Rush,-1,C.J. Gable rush for a loss of 1 yard to the Ham34. Tackled by Deron Mayo.,22,19
13:03,2,Pass,9,Henry Burris pass to Andy Fantuz for 9 yards to the Ham43. Tackled by Derrius Brooks.,22,19
12:22,3,Punt,9,Josh Bartel punts for 42 yards to Cgy25. Larry Taylor return for 9 yards to Cgy34. Tackled by Marcellus Bowman.,22,19
12:07,1,Rush,-4,Jon Cornish rush for a loss of 4 yards to the Cgy30. Tackled by Sam Scott.,22,19
11:30,2,Pass,5,Bo Levi Mitchell pass to Brad Sinopoli for 5 yards to the Cgy35. Tackled by Emanuel Davis.,22,19
11:02,3,Punt,17,Rob Maver punts for 43 yards to Ham32. Tavoy Moore return for 17 yards to Ham49. Tackled by Deron Mayo.,22,19
10:49,1,Pass,14,Henry Burris pass to Bakari Grant for 14 yards to the Cgy47. Tackled by Brandon Smith.,22,19
10:17,1,Rush,5,C.J. Gable rush for 5 yards to the Cgy42. Tackled by Charleston Hughes.,22,19
09:30,2,Pass,7,Henry Burris pass to Andy Fantuz for 7 yards to the Cgy35. Tackled by Keon Raymond.,22,19
09:04,1,Pass,19,Henry Burris pass to C.J. Gable for 19 yards to the Cgy16. Tackled by Jeff Hecht.,22,19
08:19,1,Sack,-4,Sack at Cgy20 for a loss of 4 yards by Juwan Simpson.,22,19
07:34,2,Interception,0,Henry Burris pass INTERCEPTED by Alvin Bowen. No return. Tackled by Greg Ellingson.,22,19
07:12,1,Rush,0,Jon Cornish rush for no gain to the Cgy9. Tackled by Torrey Davis.,22,19
06:47,2,Pass,8,Bo Levi Mitchell pass to Larry Taylor for 8 yards to the Cgy17. Tackled by Jamall Johnson.,22,19
06:04,3,Punt,5,Rob Maver punts for 52 yards to Ham41. Tavoy Moore return for 5 yards to Ham46. Tackled by Yannick Carter.,22,19
05:37,1,Pass,40,Henry Burris pass to C.J. Gable for 40 yards to the Cgy24. Tackled by Deron Mayo.,22,19
04:51,1,Rush,3,C.J. Gable rush for 3 yards to the Cgy21. Tackled by Alvin Bowen.,22,19
04:08,2,Sack,-9,Sack at Cgy30 for a loss of 9 yards by Charleston Hughes.,22,19
03:45,3,Missed Field Goal,30,30 yard field goal attempt by Luca Congi is NO GOOD.,22,19
03:23,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Kenny Stafford.,22,19
