Time,Down,Type,Yards,Details,Edmonton,Montreal
13:42,3,Missed Field Goal,24,Sean Whyte 24 yard field goal attempt is GOOD.,13,26
13:42,1,Roughing Passer,35,Mike Reilly pass to John White for 20 yards to the Edm55. Tackled by Chip Cox. Penalty: Roughing Passer on Montreal (Shea Emry) 15 yards.,13,26
13:18,1,Rush,21,Mike Reilly rush for 21 yards to the Mtl19. Tackled by Geoff Tisdale.,13,26
12:34,1,Pass,19,Mike Reilly pass to Calvin McCarty for 19 yards for a TOUCHDOWN.,19,26
12:22,0,Made Extra Point,0,Grant Shaw extra point is good.,20,26
12:22,0,Kickoff,24,Grant Shaw kicks off to the Mtl6. Noel Devine return for 24 yards to Mtl30. Tackled by  .,20,26
12:16,1,Fumble,6,"Brandon Whitaker rush for no gain to the Mtl30. FUMBLE, recovered by Edm (Damaso Munoz) and returned for 6 yards. Tackled by Michael Ola.",20,26
11:23,1,Pass,24,Mike Reilly pass to Cary Koch for 24 yards for a TOUCHDOWN.,26,26
11:08,0,Made Extra Point,0,Grant Shaw extra point is good.,27,26
11:08,0,Kickoff,23,Grant Shaw kicks off to the Mtl5. Noel Devine return for 23 yards to Mtl28. Tackled by Joash Gesse.,27,26
11:02,1,Rush,2,Brandon Whitaker rush for 2 yards to the Mtl30. Tackled by Odell Willis.,27,26
10:20,2,Roughing Passer,24,Anthony Calvillo pass to Arland Bruce for 9 yards to the Mtl39. Tackled by Chris Thompson. Penalty: Roughing Passer on Edmonton (Rennie Curran) 15 yards.,27,26
09:59,1,Sack,-5,Sack at Mtl49 for a loss of 5 yards by Marcus Howard.,27,26
09:15,2,Pass,16,Anthony Calvillo pass to Brandon Whitaker for 16 yards to the Edm45. Tackled by T.J. Hill.,27,26
08:57,1,Rush,0,Brandon Whitaker rush for no gain to the Edm45. Tackled by Ted Laurent.,27,26
08:10,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson.,27,26
07:53,3,Punt,0,Sean Whyte punts for 43 yards to Edm2. No return.,27,26
07:41,1,Illegal Procedure,-1,Penalty: Illegal Procedure on Edmonton (Simeon Rottier) -1 yards.,27,26
07:32,1,Rush,3,John White rush for 3 yards to the Edm4. Tackled by Michael Klassen.,27,26
07:03,2,Pass,2,Mike Reilly pass to Cary Koch for 2 yards to the Edm6. Tackled by Ed Gainey.,27,26
06:42,3,No Yards,23,Grant Shaw punts for 28 yards to Edm34. Penalty: No Yards on Edmonton -5 yards.,27,26
06:09,1,Rush,18,Brandon Whitaker rush for 18 yards to the Edm11. Tackled by Chris Rwabukamba.,27,26
05:40,1,Rush,4,Brandon Whitaker rush for 4 yards to the Edm7. Tackled by Don Oramasionwu.,27,26
04:58,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,27,26
04:12,3,Missed Field Goal,14,Sean Whyte 14 yard field goal attempt is GOOD.,27,29
04:12,1,Rush,4,Mike Reilly rush for 4 yards to the Edm39. Tackled by Alan-Michael Cash.,27,29
03:37,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Cary Koch defensed by Billy Parker.,27,29
03:03,3,No Yards,22,Grant Shaw punts for 37 yards to Mtl34. Penalty: No Yards on Edmonton (Eric Samuels) -15 yards.,27,29
02:44,1,Unnecessary Roughness,36,Brandon Whitaker rush for 21 yards to the Edm40. Tackled by Aaron Grymes. Penalty: Unnecessary Roughness on Edmonton (Aaron Grymes) 15 yards.,27,29
