Time,Down,Type,Yards,Details,Toronto,Edmonton
03:51,0,Holding,-10,Penalty: Holding on Edmonton (Thaddeus Coleman) -10 yards.,20,22
03:35,1,Sack,-10,Sack at Edm10 for no gain by Pat Watkins Recovered by Tor (Pat Watkins) and returned for 5 yards,20,22
03:00,1,Rush,5,Chad Kackert rush for 5 yards for a TOUCHDOWN.,26,22
03:00,0,Made Extra Point,0,Swayze Waters extra point is good.,27,22
03:00,0,Kickoff,15,Swayze Waters kicks off to the Edm7. Jamal Miles return for 15 yards to Edm22. Tackled by Jonathan Hood.,27,22
02:55,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Fred Stamps.,27,22
02:51,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Fred Stamps.,27,22
02:45,3,Punt,1,Grant Shaw punts for 44 yards to Tor44. Trent Guy return for 1 yard to Tor45. Tackled by Nathan Kanya.,27,22
02:36,1,Rush,0,Chad Kackert rush for no gain to the Tor45. Tackled by Eric Samuels.,27,22
02:30,2,Sack,-9,Sack at Tor36 for a loss of 9 yards by  .,27,22
02:03,3,Holding,48,Swayze Waters punts for 38 yards to Edm36. Penalty: Holding on Edmonton (Brandon Lang) 10 yards.,27,22
01:31,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Fred Stamps defensed by Pat Watkins.,27,22
01:25,2,Pass,19,Kerry Joseph pass to Fred Stamps for 19 yards to the Edm45. Tackled by Ricardo Colclough.,27,22
01:21,1,Pass,6,Kerry Joseph pass to Shamawd Chambers for 6 yards to the Edm51. Tackled by Shane Horton.,27,22
01:11,2,Pass,8,Kerry Joseph pass to Adarius Bowman for 8 yards to the Tor51. Tackled by Marcus Ball.,27,22
00:40,1,Interception,57,Kerry Joseph pass intended for Adarius Bowman INTERCEPTED by Marcus Ball and returned for 57 yards for a TOUCHDOWN.,33,22
00:40,0,Made Extra Point,0,Swayze Waters extra point is good.,34,22
00:40,0,Kickoff,8,"Swayze Waters kicks off to the Edm33. Eric Samuels return for 4 yards to Edm37., recovered by Tor (Shane Horton) and returned for 4 yards.",34,22
00:35,1,Rush,6,Chad Kackert rush for 6 yards to the Edm31. Tackled by Almondo Sewell.,34,22
00:31,2,Rush,11,Chad Kackert rush for 11 yards to the Edm20. Tackled by Chris Thompson.,34,22
