Time,Down,Type,Yards,Details,Saskatchewan,Edmonton
12:48,3,Punt,8,Grant Shaw punts for 39 yards to Ssk44. Diamond Ferri return for 8 yards to Ssk52. Tackled by Elie Ngoyi.,14,21
12:24,1,Pass,11,Levi Brown pass to Greg Carr for 11 yards to the Edm47. Tackled by Bryan Williams.,14,21
11:55,1,Pass,23,Levi Brown pass to Spencer Moore for 23 yards to the Edm24. Tackled by Nathan Kanya.,14,21
11:21,1,Rush,-1,Stephfon Green rush for a loss of 1 yard to the Edm25. Tackled by Justin Capicciotti.,14,21
10:31,2,Sack,-1,Sack at Edm26 for a loss of 1 yard by Justin Capicciotti.,14,21
09:50,3,Missed Field Goal,33,Brody McKnight 33 yard field goal attempt is GOOD.,17,21
09:50,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Dobson Collins.,17,21
09:41,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Terrance Lewis.,17,21
09:19,3,Punt,6,Grant Shaw punts for 59 yards to Ssk16. Diamond Ferri return for 6 yards to Ssk22. Tackled by Brandon Lang.,17,21
08:55,1,Pass,5,Levi Brown pass to Spencer Moore for 5 yards to the Ssk27. Tackled by Cary Harris.,17,21
08:05,2,Rush,7,Levi Brown rush for 7 yards to the Ssk34. Tackled by Kyle Norris.,17,21
07:22,1,Rush,1,Stephfon Green rush for 1 yard to the Ssk35. Tackled by Kyle Norris.,17,21
06:46,2,Pass,5,Levi Brown pass to Stephfon Green for 5 yards to the Ssk40. Tackled by Kyle Norris.,17,21
06:17,3,Punt,3,Chris Milo punts for 35 yards to Edm35. Tracy Lampley return for 3 yards to Edm38. Tackled by Diamond Ferri.,17,21
05:53,1,Pass,14,Jonathan Crompton pass to Terrance Lewis for 14 yards to the Edm52. Tackled by Prince Miller.,17,21
05:35,1,Pass,7,Jonathan Crompton pass to Terrance Lewis for 7 yards to the Ssk51. Tackled by Prince Miller.,17,21
04:40,2,Rush,18,Jonathan Crompton rush for 18 yards to the Ssk33.,17,21
04:09,1,Rush,3,Tracy Lampley rush for 3 yards to the Ssk30. Tackled by Will Davis.,17,21
03:37,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Terrance Lewis.,17,21
03:02,3,Missed Field Goal,37,Grant Shaw 37 yard field goal attempt is GOOD.,17,24
03:02,1,Pass,26,Tino Sunseri pass to Greg Carr for 26 yards to the Edm49. Tackled by Cary Harris.,17,24
02:36,1,Rush,14,Tino Sunseri rush for 14 yards to the Edm35.,17,24
02:19,1,Pass,6,Tino Sunseri pass to DeDe Dorsey for 6 yards to the Edm29. Tackled by Nathan Kanya.,17,24
