Time,Down,Type,Yards,Details,Saskatchewan,Montreal
06:18,3,No Yards,32,Sean Whyte punts for 37 yards to Ssk38. Penalty: No Yards on Montreal (Chip Cox) -5 yards.,12,14
06:00,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,12,14
05:37,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,12,14
05:13,3,Punt,8,Ricky Schmitt punts for 40 yards to Mtl27. Tyron Carrier return for 8 yards to Mtl35. Tackled by Levi Steinhauer.,12,14
04:56,1,Rush,5,Jerome Messam rush for 5 yards to the Mtl40. Tackled by Diamond Ferri.,12,14
04:11,2,Rush,4,Jerome Messam rush for 4 yards to the Mtl44. Tackled by Mike McCullough.,12,14
03:46,3,Offside,5,Penalty: Offside on Saskatchewan (John Chick) 5 yards.,12,14
03:28,1,Pass,1,Josh Neiswander pass to Arland Bruce for 1 yard to the Mtl50. Tackled by Dwight Anderson.,12,14
03:08,2,Pass,45,Josh Neiswander pass to Duron Carter for 45 yards to the Ssk15. Tackled by Prince Miller.,12,14
02:50,1,Rush,3,Arland Bruce rush for 3 yards to the Ssk12. Tackled by Mike McCullough.,12,14
02:36,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,12,14
02:28,3,Missed Field Goal,19,Sean Whyte 19 yard field goal attempt is GOOD.,12,17
02:28,1,Sack,-2,Sack at Ssk33 for a loss of 2 yards by Scott Paxson.,12,17
02:10,2,Pass,6,Darian Durant pass to Chris Getzlaf for 6 yards to the Ssk39. Tackled by Jerald Brown.,12,17
02:02,3,Punt,5,Ricky Schmitt punts for 39 yards to Mtl32. Tyron Carrier return for 5 yards to Mtl37. Tackled by Brian Peters.,12,17
01:43,1,Rush,0,Jerome Messam rush for no gain to the Mtl37. Tackled by John Chick.,12,17
01:37,2,Pass,4,Josh Neiswander pass to Duron Carter for 4 yards to the Mtl41. Tackled by Mike McCullough.,12,17
01:35,3,Punt,0,Sean Whyte punts for 37 yards to Ssk32. No return.,12,17
01:08,1,Pass,1,Darian Durant pass to Rob Bagg for 1 yard to the Ssk33. Tackled by Michael Carter.,12,17
01:02,2,Pass,12,Darian Durant pass to Weston Dressler for 12 yards to the Ssk45. Tackled by Billy Parker.,12,17
00:56,1,Pass,22,Darian Durant pass to Geroy Simon for 22 yards to the Mtl43. Tackled by Aaron Lavarias.,12,17
00:36,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,12,17
00:29,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,12,17
00:25,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (Kyries Hebert) 15 yards.,12,17
00:21,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Devin Tyler) -5 yards.,12,17
00:20,3,Interception,0,Darian Durant pass intended for Chris Getzlaf INTERCEPTED by Chip Cox. No return. Tackled by Chris Getzlaf.,12,17
