Time,Down,Type,Yards,Details,Edmonton,Hamilton
09:20,1,Unnecessary Roughness,-2,Hugh Charles rush for a loss of 2 yards to the Ham29. Tackled by Erik Harris. Penalty: Unnecessary Roughness on Edmonton (Cliff Louis) -15 yards. Penalty: Unnecessary Roughness on Hamilton (Eric Norwood) 15 yards.,16,13
08:56,2,Pass,16,Mike Reilly pass to Nate Coehoorn for 16 yards to the Ham13. Tackled by Matt Bucknor.,16,13
07:47,1,Pass,13,Mike Reilly pass to Hugh Charles for 13 yards for a TOUCHDOWN.,22,13
07:47,0,Unnecessary Roughness,15,Grant Shaw extra point is good. Penalty: Unnecessary Roughness on Hamilton (Nate Bussey) 15 yards.,23,13
07:36,0,Kickoff,21,Grant Shaw kicks off to the Ham0. C.J. Gable return for 21 yards to Ham16. Tackled by Chris Rwabukamba.,23,13
07:28,1,Pass,22,Henry Burris pass to Simon Charbonneau-Campeau for 22 yards to the Ham38. Tackled by J.C. Sherritt.,23,13
07:03,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,23,13
06:22,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson defensed by Chris Thompson.,23,13
05:57,3,Punt,8,Josh Bartel punts for 46 yards to Edm26. Joe Burnett return for 8 yards to Edm34. Tackled by James Patrick.,23,13
05:43,1,Pass,6,Mike Reilly pass to Hugh Charles for 6 yards to the Edm40. Tackled by Arthur Hobbs.,23,13
05:18,2,Rush,2,Hugh Charles rush for 2 yards to the Edm42. Tackled by Sam Scott.,23,13
04:42,3,Punt,0,Grant Shaw punts for 52 yards to Ham16. No return.,23,13
04:00,1,Pass,9,Henry Burris pass to Samuel Giguere for 9 yards to the Ham25. Tackled by T.J. Hill.,23,13
03:25,2,Rush,2,Lindsey Lamar rush for 2 yards to the Ham27. Tackled by Eddie Steele.,23,13
02:40,1,Rush,8,Lindsey Lamar rush for 8 yards to the Ham35. Tackled by Damaso Munoz.,23,13
01:59,2,Rush,6,Lindsey Lamar rush for 6 yards to the Ham41. Tackled by T.J. Hill.,23,13
01:24,0,Holding,-10,Penalty: Holding on Hamilton (Peter Dyakowski) -10 yards.,23,13
00:39,1,Rush,10,Henry Burris rush for 10 yards to the Ham41. Tackled by Chris Thompson.,23,13
00:10,2,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,23,13
15:00,3,Punt,12,Josh Bartel punts for 54 yards to Edm15. Joe Burnett return for 12 yards to Edm27. Tackled by Neil King.,23,13
14:46,1,Pass,19,Mike Reilly pass to Calvin McCarty for 19 yards to the Edm46. Tackled by Arthur Hobbs.,23,13
14:19,1,Pass,16,Mike Reilly pass to Cary Koch for 16 yards to the Ham48. Tackled by Terrance Parks.,23,13
13:38,0,Illegal Contact,10,Penalty: Illegal Contact on Hamilton (Evan McCollough) 10 yards.,23,13
13:10,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Simeon Rottier) -5 yards.,23,13
12:53,1,Offside,5,Penalty: Offside on Hamilton (Eric Norwood) 5 yards.,23,13
12:34,2,Pass,18,Mike Reilly pass to Nate Coehoorn for 18 yards to the Ham20. Tackled by Arthur Hobbs.,23,13
12:04,1,Pass,8,Mike Reilly pass to Hugh Charles for 8 yards to the Ham12. Tackled by Craig Marshall.,23,13
09:49,2,Rush,12,Mike Reilly rush for 12 yards for a TOUCHDOWN.,29,13
09:27,0,Made Extra Point,0,Grant Shaw extra point is good.,30,13
09:27,0,Kickoff,22,Grant Shaw kicks off to the Ham8. C.J. Gable return for 22 yards to Ham30. Tackled by Aaron Grymes.,30,13
09:22,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Samuel Giguere.,30,13
09:07,2,Pass,10,Henry Burris pass to Simon Charbonneau-Campeau for 10 yards to the Ham40. Tackled by Marcell Young.,30,13
08:37,3,Rush,1,Henry Burris rush for 1 yard to the Ham41. Tackled by J.C. Sherritt.,30,13
08:11,1,Rush,11,Henry Burris rush for 11 yards to the Ham52. Tackled by T.J. Hill.,30,13
07:31,1,Roughing Passer,18,Henry Burris pass to Samuel Giguere for 3 yards to the Ham55. Tackled by Chris Thompson. Penalty: Roughing Passer on Edmonton (Marcell Young) 15 yards.,30,13
06:37,1,Pass,40,Henry Burris pass to Ed Gant for 40 yards for a TOUCHDOWN.,30,19
06:22,0,Made Extra Point,0,Luca Congi extra point is good.,30,20
06:22,0,Kickoff,38,Luca Congi kicks off to the Edm12. Hugh Charles return for 38 yards to Edm50. Tackled by Markeith Knowlton.,30,20
06:12,1,Rush,0,John White rush for no gain to the Edm50. Tackled by Sam Scott.,30,20
05:45,2,Pass,5,Mike Reilly pass to Isaiah Sweeney for 5 yards to the Edm55. Tackled by Delvin Breaux.,30,20
05:00,3,Time Count,-5,Penalty: Time Count on Edmonton (Grant Shaw) -5 yards.,30,20
04:32,3,Punt,19,Grant Shaw punts for 40 yards to Ham20. Lindsey Lamar return for 19 yards to Ham39. Tackled by Eric Samuels.,30,20
04:20,1,Offside,5,Penalty: Offside on Edmonton 5 yards.,30,20
04:04,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,30,20
03:49,2,Pass,15,Henry Burris pass to Simon Charbonneau-Campeau for 15 yards to the Edm51. Tackled by Donovan Alexander.,30,20
03:24,1,Rush,8,Henry Burris rush for 8 yards to the Edm43.,30,20
03:01,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Ed Gant.,30,20
02:39,3,Pass,-1,Henry Burris pass to Lindsey Lamar for a loss of 1 yard to the Edm44. Tackled by J.C. Sherritt.,30,20
02:27,1,Rush,1,John White rush for 1 yard to the Edm45. Tackled by Eric Norwood.,30,20
02:23,2,Rush,3,John White rush for 3 yards to the Edm48. Tackled by Brian Bulcke.,30,20
01:59,3,Punt,5,Grant Shaw punts for 55 yards to Ham7. Lindsey Lamar return for 5 yards to Ham12. Tackled by Nathan Kanya.,30,20
01:30,1,Pass,14,Henry Burris pass to Ed Gant for 14 yards to the Ham26.,30,20
01:25,1,Pass,5,Henry Burris pass to Bakari Grant for 5 yards to the Ham31. Tackled by Damaso Munoz.,30,20
01:18,2,Pass,17,Henry Burris pass to Bakari Grant for 17 yards to the Ham48. Tackled by Damaso Munoz.,30,20
01:08,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Ed Gant.,30,20
00:56,2,Fumble,-10,"Sack at Ham38 for a loss of 10 yards by Don Oramasionwu. FUMBLE, recovered by Ham (Henry Burris).",30,20
00:51,3,Interception,4,Henry Burris pass intended for Ed Gant INTERCEPTED by Chris Rwabukamba and returned for 4 yards.,30,20
