Time,Down,Type,Yards,Details,Toronto,Hamilton
13:18,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Luke Tasker.,11,24
12:48,3,Punt,13,Josh Bartel punts for 38 yards to Tor5. Chad Owens return for 13 yards to Tor18. Tackled by  .,11,24
12:21,0,Pass Interference,15,Penalty: Pass Interference on Hamilton (Simoni Lawrence) 15 yards.,11,24
12:08,1,Offside,5,Penalty: Offside on Hamilton (Evan McCollough) 5 yards.,11,24
11:53,1,Pass,2,Ricky Ray pass to Dontrelle Inman for 2 yards to the Tor40. Tackled by Rico Murray.,11,24
11:40,2,Pass,4,Ricky Ray pass to Dontrelle Inman for 4 yards to the Tor44. Tackled by Rico Murray.,11,24
11:17,1,Pass,15,Ricky Ray pass to Spencer Watt for 15 yards to the Ham51. Tackled by Courtney Stephen.,11,24
10:43,1,Rush,12,Jerious Norwood rush for 12 yards to the Ham39. Tackled by Nate Bussey.,11,24
10:00,1,Rush,3,Jerious Norwood rush for 3 yards to the Ham36. Tackled by Nate Bussey.,11,24
09:27,2,Face Mask,24,Ricky Ray pass to Andre Durie for 12 yards to the Ham24. Tackled by Rico Murray. Penalty: Face Mask on Hamilton (Rico Murray) 12 yards.,11,24
09:01,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,11,24
08:17,2,Pass,12,Ricky Ray pass to Jason Barnes for 12 yards for a TOUCHDOWN.,17,24
08:00,0,Made Extra Point,0,Swayze Waters extra point is good.,18,24
08:00,0,Kickoff,15,Swayze Waters kicks off to the Ham11. Brandon Banks return for 15 yards to Ham26. Tackled by Jonathan Hood.,18,24
07:52,1,Pass,7,Henry Burris pass to Dobson Collins for 7 yards to the Ham33. Tackled by Jalil Carter.,18,24
07:32,2,Pass,10,Henry Burris pass to Luke Tasker for 10 yards to the Ham43. Tackled by Marcus Ball.,18,24
07:16,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Brandon Banks defensed by Neiko Thorpe.,18,24
06:42,2,Offside,5,Penalty: Offside on Toronto ( ) 5 yards.,18,24
06:30,2,Rush,6,Henry Burris rush for 6 yards to the Ham54. Tackled by Khalif Mitchell.,18,24
05:42,1,Rush,12,Henry Burris rush for 12 yards to the Tor44. Tackled by Alonzo Lawrence.,18,24
05:08,1,Sack,-4,Sack at Tor48 for a loss of 4 yards by Ricardo Colclough.,18,24
04:33,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Luke Tasker defensed by Jamie Robinson.,18,24
04:11,3,Punt,0,Josh Bartel punts for 44 yards to Tor4. No return.,18,24
04:02,1,Pass,8,Ricky Ray pass to Chad Owens for 8 yards to the Tor12. Tackled by Rico Murray.,18,24
03:35,2,Rush,7,Jerious Norwood rush for 7 yards to the Tor19. Tackled by Arthur Hobbs.,18,24
02:56,1,Pass,3,Ricky Ray pass to Dontrelle Inman for 3 yards to the Tor22. Tackled by Courtney Stephen.,18,24
02:40,2,Pass,13,Ricky Ray pass to Chad Owens for 13 yards to the Tor35.,18,24
02:28,1,Pass,8,Ricky Ray pass to Jerious Norwood for 8 yards to the Tor43. Tackled by Simoni Lawrence.,18,24
02:23,2,Rush,2,Ricky Ray rush for 2 yards to the Tor45. Tackled by Nate Bussey.,18,24
02:10,1,Pass,14,Ricky Ray pass to Chad Owens for 14 yards to the Ham51. Tackled by Brandon Boudreaux.,18,24
01:52,1,Pass,14,Ricky Ray pass to Chad Owens for 14 yards to the Ham37. Tackled by Arthur Hobbs.,18,24
01:44,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,18,24
01:28,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,18,24
01:19,3,Interception,0,Ricky Ray pass intended for Spencer Watt INTERCEPTED by Arthur Hobbs. No return. Tackled by Spencer Watt.,18,24
01:11,1,Rush,34,C.J. Gable rush for 34 yards to the Tor51. Tackled by Neiko Thorpe.,18,24
01:03,1,Rush,-2,C.J. Gable rush for a loss of 2 yards to the Tor53. Tackled by Jason Pottinger.,18,24
00:58,2,Rush,15,C.J. Gable rush for 15 yards to the Tor38. Tackled by Robert McCune.,18,24
