Time,Down,Type,Yards,Details,Winnipeg,Hamilton
04:00,1,Pass,18,Henry Burris pass to John Delahunt for 18 yards to the Wpg15. Tackled by Marty Markett.,14,27
03:22,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson defensed by Alex Suber.,14,27
02:41,2,Pass,11,Henry Burris pass to Bakari Grant for 11 yards to the Wpg4. Tackled by Demond Washington.,14,27
02:08,1,Rush,4,C.J. Gable rush for 4 yards for a TOUCHDOWN.,14,33
02:08,0,Made Extra Point,0,Luca Congi extra point is good.,14,34
02:08,0,Kickoff,16,Luca Congi kicks off to the Wpg11. Clarence Denmark return for 16 yards to Wpg27. Tackled by Louie Richardson.,14,34
02:03,1,Pass,7,Justin Goltz pass to Jade Etienne for 7 yards to the Wpg34. Tackled by Raymond Brown.,14,34
01:57,2,Pass,1,Justin Goltz pass to Terrence Edwards for 1 yard to the Wpg35. Tackled by Raymond Brown.,14,34
01:38,3,Incomplete Pass,0,Justin Goltz incomplete pass intended for Terrence Edwards defensed by Raymond Brown.,14,34
01:23,1,Rush,-4,C.J. Gable rush for a loss of 4 yards to the Wpg39. Tackled by Henoc Muamba.,14,34
01:18,2,Rush,4,C.J. Gable rush for 4 yards to the Wpg35. Tackled by Demond Washington.,14,34
00:39,3,Missed Field Goal,42,Luca Congi 42 yard field goal attempt is GOOD.,14,37
00:41,1,Rush,2,Justin Goltz rush for 2 yards to the Wpg37. Tackled by Jamall Johnson.,14,37
00:33,2,Pass,10,Justin Goltz pass to Kito Poblah for 10 yards to the Wpg47. Tackled by Torrey Davis.,14,37
00:24,0,Roughing Passer,15,Penalty: Roughing Passer on Hamilton (Eric Norwood) 15 yards.,14,37
00:09,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for   defensed by Delvin Breaux.,14,37
00:02,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for   defensed by Evan McCollough.,14,37
