Time,Down,Type,Yards,Details,Toronto,Montreal
13:02,3,Punt,3,Noel Prefontaine punts for 35 yards to Mtl49. Noel Devine return for 3 yards to Mtl52. Tackled by Chad Rempel.,32,10
12:45,1,Pass,7,Anthony Calvillo pass to   for 7 yards to the Tor51.,32,10
11:59,2,Rush,4,rush for 4 yards to the Tor47. Tackled by Robert McCune.,32,10
11:33,1,Pass,6,Anthony Calvillo pass to D.L. Moore for 6 yards to the Tor41. Tackled by Wayne Smith.,32,10
11:10,2,Rush,10,rush for 10 yards to the Tor31. Tackled by Robert McCune.,32,10
10:41,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green defensed by Marcus Ball.,32,10
10:18,2,Pass,10,Anthony Calvillo pass to Brandon London for 10 yards to the Tor21. Tackled by Matt Black.,32,10
09:55,1,Rush,11,rush for 11 yards to the Tor10. Tackled by Robert McCune.,32,10
09:28,1,Rush,2,rush for 2 yards to the Tor8. Tackled by Khalif Mitchell.,32,10
09:15,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London defensed by Matt Black.,32,10
08:31,3,Missed Field Goal,15,Sean Whyte 15 yard field goal attempt is GOOD.,32,13
08:31,1,Rush,5,Curtis Steele rush for 5 yards to the Tor40. Tackled by Alan-Michael Cash.,32,13
08:10,2,Rush,4,Curtis Steele rush for 4 yards to the Tor44. Tackled by Shea Emry.,32,13
07:26,3,Rush,2,Zach Collaros rush for 2 yards to the Tor46. Tackled by Kyries Hebert.,32,13
06:50,1,Rush,0,Curtis Steele rush for no gain to the Tor46. Tackled by  .,32,13
06:07,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Chad Owens.,32,13
05:34,3,Time Count,-5,Penalty: Time Count on Toronto (Noel Prefontaine) -5 yards.,32,13
05:11,3,Fumble,2,"Noel Prefontaine punts for 34 yards to Mtl35. Noel Devine return for no gain to Mtl35. FUMBLE, recovered by Tor (Chad Rempel) and returned for 2 yards. Tackled by Noel Devine.",32,13
