Time,Down,Type,Yards,Details,Toronto,Calgary
12:07,3,Punt,7,Swayze Waters punts for 57 yards to Cgy24. Larry Taylor return for 7 yards to Cgy31. Tackled by Jermaine Gabriel.,25,25
11:57,1,Rush,0,Jon Cornish rush for no gain to the Cgy31. Tackled by Marcus Ball.,25,25
11:28,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Brad Sinopoli.,25,25
10:56,3,Holding,7,Rob Maver punts for 46 yards to Tor33. Trent Guy return for 17 yards to Tor50. Penalty: Holding on Toronto (James Yurichuk) -10 yards.,25,25
10:33,1,Pass,1,Zach Collaros pass to Andre Durie for 1 yard to the Tor41. Tackled by Chris Randle.,25,25
10:02,2,Pass,35,Zach Collaros pass to Dontrelle Inman for 35 yards to the Cgy34. Tackled by  .,25,25
09:13,1,Pass,0,Zach Collaros pass to Jerious Norwood for no gain to the Cgy34. Tackled by Chris Randle.,25,25
08:03,2,Pass,34,Zach Collaros pass to Mike Bradwell for 34 yards for a TOUCHDOWN.,31,25
07:42,0,Made Extra Point,0,Swayze Waters extra point is good.,32,25
07:42,0,Kickoff,35,Swayze Waters kicks off to the Cgy3. Larry Taylor return for 35 yards to Cgy38. Tackled by Pat Watkins.,32,25
07:32,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marquay McDaniel defensed by Ricardo Colclough.,32,25
07:10,2,Pass,13,Kevin Glenn pass to Brad Sinopoli for 13 yards to the Cgy51. Tackled by Pat Watkins.,32,25
06:23,0,Face Mask,15,Penalty: Face Mask on Toronto (Demetrice Morley) 15 yards.,32,25
06:03,1,Pass,14,Kevin Glenn pass to Marquay McDaniel for 14 yards to the Tor30. Tackled by Jermaine Gabriel.,32,25
05:41,1,Rush,3,Jon Cornish rush for 3 yards to the Tor27. Tackled by Shane Horton.,32,25
05:10,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Kenny Stafford defensed by Pat Watkins.,32,25
04:33,3,Field Goal Single,47,47 yard field goal attempt by Rene Paredes is NO GOOD (Single).,32,26
04:33,1,Pass,5,Zach Collaros pass to Andre Durie for 5 yards to the Tor40. Tackled by  .,32,26
04:10,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman.,32,26
03:47,3,Punt,11,Swayze Waters punts for 57 yards to Cgy13. Larry Taylor return for 11 yards to Cgy24. Tackled by Jason Pottinger.,32,26
03:30,1,Pass,3,Kevin Glenn pass to Jabari Arthur for 3 yards to the Cgy27. Tackled by Alonzo Lawrence.,32,26
03:05,2,Pass,10,Kevin Glenn pass to Marquay McDaniel for 10 yards to the Cgy37. Tackled by Ricardo Colclough.,32,26
02:56,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Brad Sinopoli.,32,26
02:46,2,Pass,6,Kevin Glenn pass to Larry Taylor for 6 yards to the Cgy43. Tackled by Alonzo Lawrence.,32,26
02:40,0,Pass Interference,-10,Penalty: Pass Interference on Calgary (Jabari Arthur) -10 yards.,32,26
02:15,3,Punt,0,Rob Maver punts for 37 yards to Tor40. No return.,32,26
02:08,1,Rush,5,Jerious Norwood rush for 5 yards to the Tor45. Tackled by Justin Phillips.,32,26
02:03,2,Rush,10,Zach Collaros rush for 10 yards to the Tor55. Tackled by Deron Mayo.,32,26
01:38,1,Rush,4,Jerious Norwood rush for 4 yards to the Cgy51. Tackled by  .,32,26
01:17,2,Rush,1,Jerious Norwood rush for 1 yard to the Cgy50. Tackled by Alvin Bowen.,32,26
00:26,3,Punt Single,55,Swayze Waters punts for 55 yards to Cgy0 (Single).,33,26
00:26,1,Pass,10,Kevin Glenn pass to Jon Cornish for 10 yards to the Cgy45. Tackled by Robert McCune.,33,26
00:19,1,Offside,-5,Penalty: Offside on Calgary (Marquay McDaniel) -5 yards.,33,26
00:11,1,Pass,20,Bo Levi Mitchell pass to Anthony Parker for 20 yards to the Tor50.,33,26
00:06,1,Offside,5,Penalty: Offside on Toronto (Shane Horton) 5 yards.,33,26
00:02,1,Pass,17,Bo Levi Mitchell pass to Jabari Arthur for 17 yards to the Tor28.,33,26
00:00,1,Punt Single,45,Jabari Arthur punts for 45 yards to Tor0 (Single).,33,27
