Time,Down,Type,Yards,Details,Calgary,Toronto
02:38,2,Rush,11,Matt Walter rush for 11 yards to the Tor13. Tackled by Jalil Carter.,29,14
02:32,1,Rush,-1,Matt Walter rush for a loss of 1 yard to the Tor14. Tackled by Jamie Robinson.,29,14
02:09,2,Rush,0,Matt Walter rush for no gain to the Tor14. Tackled by Khalif Mitchell.,29,14
01:40,3,Missed Field Goal,21,Rene Paredes 21 yard field goal attempt is GOOD.,32,14
01:40,1,Rush,3,Zach Collaros rush for 3 yards to the Tor38. Tackled by Keon Raymond.,32,14
01:33,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Curtis Steele.,32,14
01:18,3,Sack,-3,Sack at Tor35 for a loss of 3 yards by Cordarro Law.,32,14
01:11,1,Rush,5,Jonathan Williams rush for 5 yards to the Tor30. Tackled by Ivan Brown.,32,14
01:04,2,Rush,-5,Jonathan Williams rush for a loss of 5 yards to the Tor35. Tackled by Ivan Brown.,32,14
00:15,3,Missed Field Goal,42,Rene Paredes 42 yard field goal attempt is GOOD.,35,14
00:15,1,Rush,12,Curtis Steele rush for 12 yards to the Tor47. Tackled by Keon Raymond.,35,14
00:08,1,Rush,19,Curtis Steele rush for 19 yards to the Cgy44. Tackled by Deron Mayo.,35,14
