Time,Down,Type,Yards,Details,Hamilton,Toronto
02:54,2,Pass,9,Henry Burris pass to Andy Fantuz for 9 yards to the Tor28. Tackled by Matt Black.,27,24
02:33,3,Rush,1,Dan LeFevour rush for 1 yard to the Tor27. Tackled by Shane Horton.,27,24
02:25,1,Rush,7,C.J. Gable rush for 7 yards to the Tor20. Tackled by Shane Horton.,27,24
02:07,2,Rush,4,C.J. Gable rush for 4 yards to the Tor16. Tackled by Aaron Maybin.,27,24
01:45,1,Rush,2,C.J. Gable rush for 2 yards to the Tor14. Tackled by Aaron Maybin.,27,24
01:22,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,27,24
01:24,3,Missed Field Goal,21,Luca Congi 21 yard field goal attempt is GOOD.,30,24
01:14,1,Unnecessary Roughness,31,Ricky Ray pass to Chad Owens for 16 yards to the Tor51. Tackled by Evan McCollough. Penalty: Unnecessary Roughness on Hamilton (Dee Webb) 15 yards.,30,24
01:07,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Dontrelle Inman.,30,24
01:03,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,30,24
00:58,3,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,30,24
00:51,2,Rush,10,C.J. Gable rush for 10 yards to the Ham52. Tackled by Jermaine Gabriel.,30,24
00:00,3,Fumble,-9,"Josh Bartel punts for 49 yards to Tor9. Chad Owens return for a loss of 9 yards to Tor0. FUMBLE, recovered by Ham (Marc Beswick) for a TOUCHDOWN.",36,24
