Time,Down,Type,Yards,Details,Montreal,Toronto
07:24,1,Pass,11,Zach Collaros pass to Curtis Steele for 11 yards to the Tor27. Tackled by Byron Parker.,20,9
07:02,1,Rush,3,Curtis Steele rush for 3 yards to the Tor30. Tackled by Chip Cox.,20,9
06:33,2,Pass,8,Zach Collaros pass to Jason Barnes for 8 yards to the Tor38. Tackled by Billy Parker.,20,9
05:52,1,Pass,2,Zach Collaros pass to Andre Durie for 2 yards to the Tor40. Tackled by Mike Edem.,20,9
05:24,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Spencer Watt defensed by Billy Parker.,20,9
05:01,3,Punt,-1,Noel Prefontaine punts for 46 yards to Mtl24. Tyron Carrier return for a loss of 1 yard to Mtl23. Tackled by Jason Pottinger.,20,9
04:42,1,Rush,13,Tanner Marsh rush for 13 yards to the Mtl36.,20,9
04:22,0,Holding,-10,Penalty: Holding on Montreal ( ) -10 yards.,20,9
03:56,1,Pass,4,Tanner Marsh pass to S.J. Green for 4 yards to the Mtl30. Tackled by Pat Watkins.,20,9
03:24,2,Pass,22,Tanner Marsh pass to Jerome Messam for 22 yards to the Mtl52. Tackled by Robert McCune.,20,9
03:00,1,Pass,7,Tanner Marsh pass to S.J. Green for 7 yards to the Tor51. Tackled by Pat Watkins.,20,9
02:39,2,Rush,4,Arland Bruce rush for 4 yards to the Tor47. Tackled by Robert McCune.,20,9
02:31,1,Rush,2,Jerome Messam rush for 2 yards to the Tor45. Tackled by Alonzo Lawrence.,20,9
02:11,2,Rush,8,Jerome Messam rush for 8 yards to the Tor37. Tackled by Ivan Brown.,20,9
02:05,3,Rush,2,Tanner Marsh rush for 2 yards to the Tor35. Tackled by Robert McCune.,20,9
01:44,1,Rush,5,Jerome Messam rush for 5 yards to the Tor30. Tackled by Jonathan Williams.,20,9
01:20,2,Rush,-2,Jerome Messam rush for a loss of 2 yards to the Tor32. Tackled by Khalif Mitchell.,20,9
00:48,3,Rush,5,Jerome Messam rush for 5 yards to the Tor27. Tackled by Matt Black.,20,9
00:30,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Curtis Steele.,20,9
00:26,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie defensed by Aaron Lavarias.,20,9
00:17,3,Punt,1,Noel Prefontaine punts for 41 yards to Mtl42. Tyron Carrier return for 1 yard to Mtl43. Tackled by Chad Rempel.,20,9
