Time,Down,Type,Yards,Details,Toronto,Winnipeg
09:20,1,Rush,10,Jeremiah Johnson rush for 10 yards to the Wpg54. Tackled by Jason Vega.,7,31
08:31,1,Pass,5,Ricky Ray pass to Spencer Watt for 5 yards to the Wpg49. Tackled by Bruce Johnson.,7,31
07:56,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles defensed by Chris Randle.,7,31
07:43,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on Winnipeg 10 yards.,7,31
07:30,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles defensed by Maurice Leggett.,7,31
07:16,2,Pass,14,Ricky Ray pass to Jason Barnes for 14 yards to the Wpg25. Tackled by Matt Bucknor.,7,31
06:39,1,Pass,20,Ricky Ray pass to Spencer Watt for 20 yards to the Wpg5. Tackled by Demond Washington.,7,31
05:52,1,Pass,5,Ricky Ray pass to Jeremiah Johnson for 5 yards for a TOUCHDOWN.,13,31
05:46,0,Made Extra Point,0,Swayze Waters extra point is good.,14,31
05:46,0,Kickoff,24,Swayze Waters kicks off to the Wpg13. Demond Washington return for 24 yards to Wpg37. Tackled by Ivan Brown.,14,31
05:40,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Julian Feoli-Gudino.,14,31
05:23,2,Interception,0,Drew Willy pass intended for Clarence Denmark INTERCEPTED. No return. Tackled by Nick Moore.,14,31
04:29,1,Fumble,46,"Jeremiah Johnson rush for 9 yards to the Tor37. FUMBLE, recovered by Wpg (Demond Washington) and returned for 37 yards for a TOUCHDOWN.",14,37
04:21,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,14,38
04:21,0,Illegal Block,7,Lirim Hajrullahu kicks off to the Tor8. Anthony Coombs return for 17 yards to Tor25. Penalty: Illegal Block on Toronto (Curtis Steele) -10 yards.,14,38
04:16,1,Pass,8,Ricky Ray pass to Chad Owens for 8 yards to the Tor23. Tackled by Johnny Sears Jr..,14,38
03:50,2,Pass,10,Ricky Ray pass to Andre Durie for 10 yards to the Tor33. Tackled by Matt Bucknor.,14,38
03:34,1,Pass,21,Ricky Ray pass to Jason Barnes for 21 yards to the Tor54. Tackled by Maurice Leggett.,14,38
03:08,1,Face Mask,27,Ricky Ray pass to Curtis Steele for 12 yards to the Wpg44. Tackled by Bruce Johnson. Penalty: Face Mask on Winnipeg (Jake Thomas) 15 yards.,14,38
02:40,1,Pass,7,Ricky Ray pass to Mike Bradwell for 7 yards to the Wpg22. Tackled by Bruce Johnson.,14,38
02:07,2,Rush,3,Curtis Steele rush for 3 yards to the Wpg19. Tackled by Ejiro Kuale.,14,38
01:39,1,Pass,4,Ricky Ray pass to Curtis Steele for 4 yards to the Wpg15. Tackled by Ejiro Kuale.,14,38
01:11,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens defensed by Maurice Leggett.,14,38
00:55,3,Unnecessary Roughness,7,Ricky Ray incomplete pass intended for John Chiles. Penalty: Unnecessary Roughness on Winnipeg (Demond Washington) 7 yards.,14,38
00:38,1,Rush,3,Nic Grigsby rush for 3 yards to the Wpg11. Tackled by Cleyon Laing.,14,38
00:01,2,Pass,12,Drew Willy pass to Nic Grigsby for 12 yards to the Wpg23. Tackled by James Yurichuk.,14,38
15:00,0,Roughing Passer,15,Penalty: Roughing Passer on Toronto (Cleyon Laing) 15 yards.,14,38
14:41,1,Offside,-5,Penalty: Offside on Winnipeg (Thaddeus Gibson) -5 yards.,14,38
