Time,Down,Type,Yards,Details,Ottawa,Calgary
09:06,2,Offside,5,Penalty: Offside on Calgary (Freddie Bishop III) 5 yards.,17,35
08:42,2,Rush,2,Chevon Walker rush for 2 yards to the Ott41. Tackled by Shawn Lemon.,17,35
08:13,3,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for D.J. Harper.,17,35
07:55,1,Pass,12,Bo Levi Mitchell pass to Jeff Fuller for 12 yards to the Ott29. Tackled by Jerrell Gavins.,17,35
07:18,1,Pass,5,Bo Levi Mitchell pass to Tim St. Pierre for 5 yards to the Ott24. Tackled by Reggie Jones.,17,35
06:42,2,Rush,3,Marquay McDaniel rush for 3 yards to the Ott21. Tackled by Jasper Simmons.,17,35
06:06,3,Missed Field Goal,28,Rene Paredes 28 yard field goal attempt is GOOD.,17,38
06:06,1,Pass,10,Henry Burris pass to Matt Carter for 10 yards to the Ott45. Tackled by Fred Bennett.,17,38
05:37,2,Rush,2,Henry Burris rush for 2 yards to the Ott47. Tackled by Juwan Simpson.,17,38
04:57,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins defensed by Keon Raymond.,17,38
04:39,2,Pass,60,Henry Burris pass to Matt Carter for 60 yards to the Cgy3. Tackled by Josh Bell.,17,38
03:49,1,Objectionable Conduct,-10,Henry Burris incomplete pass intended for Dobson Collins defensed by Jamar Wall. Penalty: Objectionable Conduct on Ottawa (Dobson Collins) -10 yards.,17,38
03:24,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (Jon Gott) -5 yards.,17,38
03:08,2,Pass,7,Henry Burris pass to Wallace Miles for 7 yards to the Cgy11. Tackled by Jamar Wall.,17,38
02:43,3,Offside,-5,Penalty: Offside on Ottawa ( ) -5 yards.,17,38
02:27,3,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,17,38
02:22,1,Pass,6,Drew Tate pass to Jeff Fuller for 6 yards to the Cgy22. Tackled by Antoine Pruneau.,17,38
02:15,2,Rush,7,Rob Cote rush for 7 yards to the Cgy29. Tackled by Brandon Lang.,17,38
02:11,1,Rush,1,Rob Cote rush for 1 yard to the Cgy30. Tackled by Monte Lewis.,17,38
01:46,2,Pass,18,Drew Tate pass to Brad Sinopoli for 18 yards to the Cgy48. Tackled by Jerrell Gavins.,17,38
01:18,1,Rush,5,Rob Cote rush for 5 yards to the Cgy53. Tackled by Monte Lewis.,17,38
00:54,2,Rush,10,Rob Cote rush for 10 yards to the Ott47. Tackled by Jasper Simmons.,17,38
