Time,Down,Type,Yards,Details,Montreal,Winnipeg
09:49,1,Pass,7,Buck Pierce pass to Chris Matthews for 7 yards to the Mtl32. Tackled by Geoff Tisdale.,23,27
09:20,2,Pass,12,Buck Pierce pass to Jade Etienne for 12 yards to the Mtl20. Tackled by Billy Parker.,23,27
09:03,1,Rush,5,Chad Simpson rush for 5 yards to the Mtl15. Tackled by Shea Emry.,23,27
08:28,2,Sack,-1,Sack at Mtl16 for a loss of 1 yard by Kyries Hebert.,23,27
07:38,3,Missed Field Goal,23,Justin Palardy 23 yard field goal attempt is GOOD.,23,30
07:38,1,Pass,27,Anthony Calvillo pass to S.J. Green for 27 yards to the Wpg48. Tackled by Cauchy Muamba.,23,30
07:07,1,Pass,3,Anthony Calvillo pass to S.J. Green for 3 yards to the Wpg45. Tackled by Brandon Stewart.,23,30
06:40,2,Sack,-3,Sack at Wpg48 for a loss of 3 yards by Kenny Mainor.,23,30
05:38,3,Punt Single,0,Sean Whyte punts for 57 yards to Wpg0. No return (Single).,24,30
05:38,1,Time Count,-5,Penalty: Time Count on Winnipeg (Buck Pierce) -5 yards.,24,30
05:17,1,Pass,13,Buck Pierce pass to Chad Simpson for 13 yards to the Wpg43. Tackled by Kyries Hebert.,24,30
04:40,2,Rush,3,Chad Simpson rush for 3 yards to the Wpg46. Tackled by Chip Cox.,24,30
04:12,1,Rush,3,Buck Pierce rush for 3 yards to the Wpg49.,24,30
03:40,2,Pass,25,Buck Pierce pass to Chris Matthews for 25 yards to the Mtl36. Tackled by Aaron Lavarias.,24,30
03:10,1,Sack,-5,Sack at Mtl41 for a loss of 5 yards by Chip Cox.,24,30
02:32,2,Sack,0,Sack at Mtl41 for no gain by Aaron Lavarias.,24,30
01:45,3,Missed Field Goal,48,Justin Palardy 48 yard field goal attempt is GOOD.,24,33
01:45,1,Pass,5,Anthony Calvillo pass to Arland Bruce for 5 yards to the Mtl40. Tackled by Desia Dunn.,24,33
01:16,0,Illegal Contact,10,Penalty: Illegal Contact on Winnipeg (Demond Washington) 10 yards.,24,33
00:50,1,Pass,3,Anthony Calvillo pass to Eric Deslauriers for 3 yards to the Mtl53. Tackled by Alex Suber.,24,33
00:14,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Arland Bruce defensed by Desia Dunn.,24,33
15:00,3,Punt,4,Sean Whyte punts for 48 yards to Wpg9. Jovon Johnson return for 4 yards to Wpg13. Tackled by Mike Edem.,24,33
14:32,1,Rush,4,Chad Simpson rush for 4 yards to the Wpg17. Tackled by Ejiro Kuale.,24,33
14:13,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Terrence Edwards.,24,33
13:47,3,No Yards,36,Mike Renaud punts for 41 yards to Mtl52. Penalty: No Yards on Winnipeg (Brandon Stewart) -5 yards.,24,33
13:20,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,24,33
13:10,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Dahrran Diedrick.,24,33
12:47,3,Punt,0,Sean Whyte punts for 51 yards to Wpg2. No return.,24,33
12:28,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Michel-Pierre Pontbriand.,24,33
12:01,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Terrence Edwards.,24,33
