Time,Down,Type,Yards,Details,Montreal,Saskatchewan
09:36,1,Pass,4,Darian Durant pass to Taj Smith for 4 yards to the Ssk51. Tackled by Chip Cox.,14,14
08:45,2,Pass,4,Darian Durant pass to Geroy Simon for 4 yards to the Ssk55. Tackled by Jerald Brown.,14,14
08:21,3,Face Mask,7,Ricky Schmitt punts for 37 yards to Mtl18. Penalty: No Yards on Saskatchewan (Diamond Ferri) -15 yards. Penalty: Face Mask on Saskatchewan (Diamond Ferri) -15 yards.,14,14
08:07,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Arland Bruce.,14,14
07:54,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,14,14
07:34,3,Unnecessary Roughness,15,Sean Whyte punts for 46 yards to Ssk16. Weston Dressler return for no gain to Ssk16. Penalty: Unnecessary Roughness on Montreal (Mike Edem) 15 yards.,14,14
07:16,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk35. Tackled by Marc-Olivier Brouillette.,14,14
06:47,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Kory Sheets.,14,14
06:24,3,Unnecessary Roughness,17,Ricky Schmitt punts for 50 yards to Mtl25. Tyron Carrier return for 2 yards to Mtl27. Penalty: Unnecessary Roughness on Saskatchewan (Diamond Ferri) 15 yards.,14,14
05:54,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Tyrell Sutton defensed by Macho Harris.,14,14
05:44,2,Pass,19,Josh Neiswander pass to Jerome Messam for 19 yards to the Ssk50. Tackled by Tyron Brackenridge.,14,14
05:18,1,Rush,-4,Jerome Messam rush for a loss of 4 yards to the Ssk54. Tackled by Tearrius George.,14,14
04:40,2,Pass,15,Josh Neiswander pass to S.J. Green for 15 yards to the Ssk39. Tackled by Dwight Anderson.,14,14
04:04,1,Rush,4,Jerome Messam rush for 4 yards to the Ssk35. Tackled by Hilee Taylor.,14,14
03:28,2,Fumble,2,"Josh Neiswander pass to S.J. Green for 2 yards to the Ssk33. FUMBLE, recovered by Ssk (John Chick). Tackled by Michael Ola.",14,14
03:06,0,Intentional Grounding,-15,Penalty: Intentional Grounding on Saskatchewan (Darian Durant) -15 yards.,14,14
02:59,2,Pass,3,Darian Durant pass to Kory Sheets for 3 yards to the Ssk21. Tackled by Chip Cox.,14,14
02:46,3,Illegal Block,-4,Ricky Schmitt punts for 37 yards to Mtl52. Tyron Carrier return for 6 yards to Ssk52. Penalty: Illegal Block on Montreal (Brandon Denson) -10 yards.,14,14
02:27,1,Interception,0,Josh Neiswander pass intended for Arland Bruce INTERCEPTED by Dwight Anderson. No return. Tackled by Arland Bruce.,14,14
02:20,1,Rush,3,Kory Sheets rush for 3 yards to the Ssk54. Tackled by Marc-Olivier Brouillette.,14,14
01:45,2,Sack,54,Sack at Ssk54 for no gain by Marc-Olivier Brouillette Recovered by Mtl (Jerald Brown) and returned for 54 yards for a TOUCHDOWN,20,14
01:45,0,Made Extra Point,0,Sean Whyte extra point is good.,21,14
01:45,0,Kickoff,16,Sean Whyte kicks off to the Ssk10. Weldon Brown return for 16 yards to Ssk26. Tackled by Daryl Townsend.,21,14
01:39,1,Pass,15,Darian Durant pass to Chris Getzlaf for 15 yards to the Ssk41. Tackled by Chip Cox.,21,14
01:31,1,Pass,4,Darian Durant pass to Weston Dressler for 4 yards to the Ssk45. Tackled by Aaron Lavarias.,21,14
01:02,2,Pass,65,Darian Durant pass to Taj Smith for 65 yards for a TOUCHDOWN.,21,20
01:02,0,Made Extra Point,0,Chris Milo extra point is good.,21,21
01:02,0,Unnecessary Roughness,26,Ricky Schmitt kicks off to the Mtl8. Tyrell Sutton return for 11 yards to Mtl19. Tackled by Taj Smith. Penalty: Unnecessary Roughness on Saskatchewan (Diamond Ferri) 15 yards.,21,21
00:54,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Tyron Carrier.,21,21
00:49,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for D.L. Moore.,21,21
00:41,3,Punt,38,Sean Whyte punts for 42 yards to Ssk34. Weston Dressler return for 38 yards to Mtl38. Tackled by Chip Cox.,21,21
00:28,1,Rush,5,Kory Sheets rush for 5 yards to the Mtl33. Tackled by Geoff Tisdale.,21,21
00:24,2,Rush,4,Kory Sheets rush for 4 yards to the Mtl29. Tackled by Jerald Brown.,21,21
00:01,3,Roughing Kicker,51,Chris Milo 36 yard field goal attempt is GOOD. Penalty: Roughing Kicker on Montreal (Byron Parker) 15 yards.,21,24
