Time,Down,Type,Yards,Details,Winnipeg,Saskatchewan
06:40,1,Rush,3,Kory Sheets rush for 3 yards to the Wpg7. Tackled by Henoc Muamba.,25,31
05:45,2,Pass,7,Darian Durant pass to Taj Smith for 7 yards for a TOUCHDOWN.,25,37
05:24,0,Made Extra Point,0,Chris Milo extra point is good.,25,38
05:24,0,Kickoff,26,Ricky Schmitt kicks off to the Wpg16. Aaron Woods return for 26 yards to Wpg42. Tackled by Prince Miller.,25,38
05:16,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Aaron Kelly defensed by Dwight Anderson.,25,38
05:05,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Kito Poblah defensed by Prince Miller.,25,38
04:45,0,Blocked Punt,-5,FUMBLE Punt blocked by Spencer Moore.  Recovered by Ssk (Spencer Moore) and returned for 7 yards. Tackled by Mike Renaud,25,38
04:10,1,Rush,1,Kory Sheets rush for 1 yard to the Wpg22. Tackled by Desia Dunn.,25,38
03:36,2,Pass,6,Darian Durant pass to Taj Smith for 6 yards to the Wpg16. Tackled by Jovon Johnson.,25,38
02:38,3,Missed Field Goal,23,Chris Milo 23 yard field goal attempt is GOOD.,25,41
02:38,1,Offside,-5,Penalty: Offside on Winnipeg (Clarence Denmark) -5 yards.,25,41
02:32,1,Interception,41,Justin Goltz pass intended for Clarence Denmark INTERCEPTED by Terrell Maze and returned for 41 yards. Tackled by  .,25,41
02:18,1,Rush,5,Kory Sheets rush for 5 yards to the Wpg5. Tackled by  .,25,41
02:07,2,Pass,5,Darian Durant pass to Geroy Simon for 5 yards for a TOUCHDOWN.,25,47
02:07,0,Made Extra Point,0,Chris Milo extra point is good.,25,48
02:07,0,Kickoff,11,Ricky Schmitt kicks off to the Wpg17. Demond Washington return for 11 yards to Wpg28. Tackled by Paul Woldu.,25,48
01:58,1,Rush,2,Anthony Woodson rush for 2 yards to the Wpg30. Tackled by Jermaine McElveen.,25,48
01:52,2,Rush,9,Justin Goltz rush for 9 yards to the Wpg39. Tackled by Weldon Brown.,25,48
01:27,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Aaron Kelly.,25,48
01:14,2,Pass,-3,Justin Goltz pass to Anthony Woodson for a loss of 3 yards to the Wpg36. Tackled by Brian Peters.,25,48
00:59,3,Punt,-1,Mike Renaud punts for 52 yards to Ssk22. Tristan Jackson return for a loss of 1 yard to Ssk21. Tackled by James Green.,25,48
00:38,1,Rush,9,Kory Sheets rush for 9 yards to the Ssk30. Tackled by Alex Suber.,25,48
00:30,2,Rush,0,Kory Sheets rush for no gain to the Ssk30. Tackled by Henoc Muamba.,25,48
