Time,Down,Type,Yards,Details,Winnipeg,Montreal
09:22,3,Punt,11,Mike Renaud punts for 46 yards to Mtl44. Noel Devine return for 11 yards to Mtl55. Tackled by James Green.,9,4
09:02,1,Interception,0,Anthony Calvillo pass intended for Jamel Richardson INTERCEPTED by Desia Dunn. No return. Tackled by Jamel Richardson.,9,4
08:42,1,Rush,-2,Chad Simpson rush for a loss of 2 yards to the Wpg48. Tackled by Shea Emry.,9,4
07:40,2,Pass,47,Buck Pierce pass to Rory Kohlert for 47 yards to the Mtl15. Tackled by Geoff Tisdale.,9,4
07:26,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Cory Watson.,9,4
07:05,2,Pass,14,Buck Pierce pass to Clarence Denmark for 14 yards to the Mtl1. Tackled by Mike Edem.,9,4
06:29,1,Offside,0,Penalty: Offside on Montreal (Alan-Michael Cash) 0 yards.,9,4
06:03,1,Rush,1,Justin Goltz rush for 1 yard for a TOUCHDOWN.,15,4
05:49,0,Made Extra Point,0,Justin Palardy extra point is good.,16,4
05:49,0,Kickoff,27,Justin Palardy kicks off to the Mtl13. Noel Devine return for 27 yards to Mtl40. Tackled by Henoc Muamba.,16,4
05:38,1,Pass,-7,Anthony Calvillo pass to Brandon Whitaker for a loss of 7 yards to the Mtl33. Tackled by Alex Hall.,16,4
04:51,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green defensed by Demond Washington.,16,4
04:33,3,Punt,6,Sean Whyte punts for 42 yards to Wpg35. Jovon Johnson return for 6 yards to Wpg41.,16,4
04:20,1,Pass,4,Buck Pierce pass to Rory Kohlert for 4 yards to the Wpg45. Tackled by Jerald Brown.,16,4
03:55,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Rory Kohlert.,16,4
03:33,3,Punt,37,Mike Renaud punts for 52 yards to Mtl13. Noel Devine return for 37 yards to Mtl50. Tackled by Mike Renaud.,16,4
02:55,1,Pass,7,Anthony Calvillo pass to Brandon Whitaker for 7 yards to the Wpg53. Tackled by Demond Washington.,16,4
02:38,2,Pass,15,Anthony Calvillo pass to Jamel Richardson for 15 yards to the Wpg38. Tackled by Alex Suber.,16,4
02:34,1,Pass,21,Anthony Calvillo pass to Arland Bruce for 21 yards to the Wpg17.,16,4
01:10,1,Pass,17,Anthony Calvillo pass to S.J. Green for 17 yards for a TOUCHDOWN.,16,10
02:10,0,Made Extra Point,0,Sean Whyte extra point is good.,16,11
