Time,Down,Type,Yards,Details,Toronto,Winnipeg
00:11,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Doug Pierce defensed by Jamie Robinson.,31,6
14:49,3,Missed Field Goal,22,Justin Palardy 22 yard field goal attempt is GOOD.,31,9
14:48,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Chad Kackert.,31,9
14:27,2,Pass,55,Trevor Harris pass to John Chiles for 55 yards to the Wpg20. Tackled by Jovon Johnson.,31,9
13:40,1,Rush,0,Andre Durie rush for no gain to the Wpg20. Tackled by Ryan Lucas.,31,9
13:13,2,Sack,-2,Sack at Wpg22 for a loss of 2 yards by Alex Hall.,31,9
12:28,3,Unnecessary Roughness,13,39 yard field goal attempt by Noel Prefontaine is NO GOOD.  Missed field goal returned by Jovon Johnson to the Wpg0 (Single). Penalty: Unnecessary Roughness on Toronto (Wayne Smith) 15 yards. Penalty: Unnecessary Roughness on Winnipeg (Alex Hall) -15 yards.,32,9
12:16,1,Fumble,28,"Justin Goltz pass to Chad Simpson for 15 yards to the Wpg50. FUMBLE, recovered by Tor (Marcus Ball) and returned for 13 yards. Tackled by Justin Goltz.",32,9
11:48,1,Rush,2,Andre Durie rush for 2 yards to the Wpg35. Tackled by Ryan Lucas.,32,9
11:15,2,Pass,2,Trevor Harris pass to Andre Durie for 2 yards to the Wpg33. Tackled by Alex Suber.,32,9
10:47,3,Missed Field Goal,3,32 yard field goal attempt by Noel Prefontaine is NO GOOD.  Missed field goal returned by Jovon Johnson to the Wpg4. Tackled by Chad Rempel.,32,9
10:13,1,Rush,3,Chad Simpson rush for 3 yards to the Wpg7. Tackled by David Lee.,32,9
09:31,2,Pass,1,Justin Goltz pass to Rory Kohlert for 1 yard to the Wpg8. Tackled by Robert McCune.,32,9
09:00,3,Illegal Punt,19,Mike Renaud punts for 29 yards to Wpg37. Penalty: Illegal Punt on Winnipeg (Mike Renaud) -10 yards.,32,9
08:34,1,Rush,1,Andre Durie rush for 1 yard to the Wpg26. Tackled by Alex Hall.,32,9
08:01,2,Pass,9,Trevor Harris pass to Chad Owens for 9 yards to the Wpg17. Tackled by Cauchy Muamba.,32,9
07:10,1,Rush,0,Andre Durie rush for no gain to the Wpg17. Tackled by Henoc Muamba.,32,9
06:24,2,Rush,0,Andre Durie rush for no gain to the Wpg17. Tackled by Henoc Muamba.,32,9
05:26,3,Missed Field Goal,24,Noel Prefontaine 24 yard field goal attempt is GOOD.,35,9
05:27,1,Rush,0,Justin Goltz rush for no gain to the Wpg35. Tackled by Kiante Tripp.,35,9
04:40,2,Pass,9,Justin Goltz pass to Doug Pierce for 9 yards to the Wpg44. Tackled by Marcus Ball.,35,9
04:25,3,Rush,2,Justin Goltz rush for 2 yards to the Wpg46. Tackled by Khalif Mitchell.,35,9
03:46,1,Pass,6,Justin Goltz pass to Rory Kohlert for 6 yards to the Wpg52. Tackled by Janzen Jackson.,35,9
03:15,2,Pass,47,Justin Goltz pass to Doug Pierce for 47 yards to the Tor11. Tackled by Jamie Robinson.,35,9
02:50,1,Rush,-1,Will Ford rush for a loss of 1 yard to the Tor12. Tackled by Marcus Ball.,35,9
02:29,2,Pass,1,Justin Goltz pass to Will Ford for 1 yard to the Tor11.,35,9
02:25,3,Incomplete Pass,0,Justin Goltz incomplete pass intended for Jade Etienne.,35,9
02:19,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Chris Van Zeyl) -5 yards.,35,9
02:18,1,Rush,1,Jeff Johnson rush for 1 yard to the Tor7. Tackled by Kenny Mainor.,35,9
02:14,2,Rush,3,Jeff Johnson rush for 3 yards to the Tor10. Tackled by Alex Hall.,35,9
01:33,3,Safety,-10,Safety,35,11
01:33,0,Kickoff,16,Noel Prefontaine kicks off to the Wpg31. Will Ford return for 16 yards to Wpg47. Tackled by Spencer Watt.,35,11
01:27,1,Pass,9,Justin Goltz pass to Jade Etienne for 9 yards to the Tor54. Tackled by Jason Pottinger.,35,11
01:20,2,Rush,17,Chad Simpson rush for 17 yards to the Tor37. Tackled by Jamie Robinson.,35,11
01:01,1,Pass,36,Justin Goltz pass to Jade Etienne for 36 yards to the Tor1. Tackled by Pat Watkins.,35,11
00:29,1,Rush,1,Chad Simpson rush for 1 yard for a TOUCHDOWN.,35,17
00:29,0,Two Point Conversion,5,Justin Goltz 2 pt conversion pass to Isaac Anderson is GOOD.,35,19
00:29,0,Kickoff,3,Justin Palardy kicks off to the Wpg49. Chad Owens return for 3 yards to Wpg46. Tackled by Pierre-Luc Labbe.,35,19
